object_category,pair_ix,round_ix,target_object_indices,model_response
dogs,22,3,"[6, 5, 9, 7, 1, 10, 4, 8, 2, 3]","{
  ""object_#1"": ""the circle"",
  ""object_#2"": ""the mustache"",
  ""object_#3"": ""the hairy one facing to the left"",
  ""object_#4"": ""Lassie"",
  ""object_#5"": ""bulldog"",
  ""object_#6"": ""the long nose one"",
  ""object_#7"": ""the one facing towards the right, head towards the left, has a leash"",
  ""object_#8"": ""the one in the orange background, head turned"",
  ""object_#9"": ""the tongue sticking out"",
  ""object_#10"": ""the black, tall""
}"
dogs,22,4,"[5, 9, 1, 7, 3, 6, 10, 4, 8, 2]","{
  ""object_#1"": ""Mustache"",
  ""object_#2"": ""the snow fox one"",
  ""object_#3"": ""the bulldog with the leash"",
  ""object_#4"": ""Lassie"",
  ""object_#5"": ""the tall one, The black, tall one"",
  ""object_#6"": ""the circle"",
  ""object_#7"": ""the long nose"",
  ""object_#8"": ""the one with the leash, turning his head"",
  ""object_#9"": ""Green background, the golden background, with the head turned too"",
  ""object_#10"": ""the tongue sticking out""
}"
dogs,23,1,"[2, 8, 4, 10, 6, 3, 7, 1, 9, 5]","{
  ""object_#1"": ""this dog is standing upright, patch of black around his stomach and back area, legs camel color, black tip on his tail"",
  ""object_#2"": ""furry, turning towards his butt, white legs, patch of black on his butt, two inches of fur"",
  ""object_#3"": ""sitting down, brown collar, surrounded by green"",
  ""object_#4"": ""really short dog, looks like a weiner, stubby legs, all black"",
  ""object_#5"": ""all black, shiny collar"",
  ""object_#6"": ""looks like a Doberman, shiny black, outlined in green"",
  ""object_#7"": ""looks like a cocker spaniel, longish hair, looking up"",
  ""object_#8"": ""bulldog, legs digging into the ground, puppy face"",
  ""object_#9"": ""wolf dog, white tail"",
  ""object_#10"": ""short, beard, tail pointing up, all black""
}"
dogs,23,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{
  ""object_#1"": ""the dog with the sad puppy face, his legs are digging into the ground behind him"",
  ""object_#2"": ""he's got the black patch"",
  ""object_#3"": ""he looks like a Doberman?, He's shiny all over, He's black"",
  ""object_#4"": ""he's looking at his tail, and he's sitting down"",
  ""object_#5"": ""a beard, curly hair, black"",
  ""object_#6"": ""the poodle, the black one, the circular thing on his collar"",
  ""object_#7"": ""He's got brown hair, His ears droop, He's like the cocker spaniel"",
  ""object_#8"": ""he looks like he's biting his butt, He's got the yellow outline at the bottom, and the black on top"",
  ""object_#9"": ""the wolf"",
  ""object_#10"": ""the short, weiner dog""
}"
dogs,23,3,"[6, 5, 9, 7, 1, 10, 4, 8, 2, 3]","{
  ""object_#1"": ""the one with the circle thing on his collar"",
  ""object_#2"": ""the ears, The tail sticking up"",
  ""object_#3"": ""the wolf?"",
  ""object_#4"": ""the cocker spaniel, He's like tan color with droopy ears, it's like wavy, Looks like human hair"",
  ""object_#5"": ""the bulldog"",
  ""object_#6"": ""the weiner dog"",
  ""object_#7"": ""that dog--he looks like he's looking--he's sitting down, he's looking towards..."",
  ""object_#8"": ""Number eight, yellow bottom, Top"",
  ""object_#9"": ""the first dog we ever looked at, with the black patch on his stomach"",
  ""object_#10"": ""the Doberman? He's shiny all over, Black""
}"
dogs,23,4,"[5, 9, 1, 7, 3, 6, 10, 4, 8, 2]","{
  ""object_#1"": ""furry, black, ears point up"",
  ""object_#2"": ""the wolf"",
  ""object_#3"": ""the bulldog"",
  ""object_#4"": ""the cocker spaniel"",
  ""object_#5"": ""the shiny black dog"",
  ""object_#6"": ""poodle with the circle thing on his collar"",
  ""object_#7"": ""the weiner dog"",
  ""object_#8"": ""the dog with the green outline"",
  ""object_#9"": ""the dog that looks like he's biting his butt, yellow on the bottom, black on top"",
  ""object_#10"": ""the first dog we looked at with the black patch""
}"
dogs,24,1,"[2, 8, 4, 10, 6, 3, 7, 1, 9, 5]","{
  ""object_#1"": ""yellow, big black spot on the center, long ears, wide snout, some kind of Labrador I think"",
  ""object_#2"": ""curly hair, short ears, mostly yellow, white dog, black spot covering pretty much his whole center"",
  ""object_#3"": ""short-haired dog, ears darker than body, tail long for the size of him, wearing a collar"",
  ""object_#4"": ""all black, short, very short legs, short hair, curly but not as curly as the other dog on the list, dachshund or something, long torso, long snout"",
  ""object_#5"": ""poodle, black poodle, collar, big round charm on it"",
  ""object_#6"": ""very short hair, all black except for his snout, which is part light brown, mean dog"",
  ""object_#7"": ""long-haired, tan colored dog, darker around torso, lighter around legs, ears are the lightest part of him"",
  ""object_#8"": ""bulldog, yellow body, black snout, pointy ears, big eyes, short tail, chain collar"",
  ""object_#9"": ""husky, black and white, sticking his tongue out"",
  ""object_#10"": ""very small, black dog, hair drapes all the way from body to the ground, short tail, pointy ears""
}"
dogs,24,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{
  ""object_#1"": ""he looks like a bulldog, All yellow body, black snout, and pointy ears"",
  ""object_#2"": ""this is the one with the largest spot?"",
  ""object_#3"": ""the third one is all black, except for a little stripe of yellow on his cheek, he has yellow paws, but he's all black, shiny coat, short fur"",
  ""object_#4"": ""the fourth one looks like he has kind of a beagle face, all yellow, collar, it's a thicker collar, compared to the other dogs, yellow body, black ears, he has kind of like a retriever face?"",
  ""object_#5"": ""the next dog is a terrier, all black, this is the longest haired dog, short little thing, with a little stumpy tail, his hair reaches the ground"",
  ""object_#6"": ""the next dog is a really long haired; he looks like he has a retriever face too; he's pointing with his nose"",
  ""object_#7"": ""the next dog is a short haired dog, it's really curly hair, all white, or maybe there's a black spot but I can't tell if it's a shadow, like on his stomach?"",
  ""object_#8"": ""the next dog is a husky, black and white dog, really different looking than the other dogs"",
  ""object_#9"": ""the last one is really short, little, black thing? short hair""
}"
dogs,24,3,"[6, 5, 9, 7, 1, 10, 4, 8, 2, 3]","{
  ""object_#1"": ""poodle with the charm"",
  ""object_#2"": ""short little stumpy dog with the moppy hair"",
  ""object_#3"": ""husky, black and white dog, with his tongue hanging out"",
  ""object_#4"": ""long haired dog that's pointing to the sky with his nose"",
  ""object_#5"": ""very short hair, all yellow body, black snout, short snout, really pointy ears"",
  ""object_#6"": ""male dog, collar, chain collar, skinner than the other dogs that are all yellow"",
  ""object_#7"": ""very short hair, looks like curly hair, all black, completely black, very short feet, short and black and curly hair"",
  ""object_#8"": ""body facing right, face facing left, looking towards something"",
  ""object_#9"": ""white, tall, poodle-ish, not fro-ey"",
  ""object_#10"": ""huge spot on his torso"",
  ""object_#11"": ""very skinny, very shiny coat, all black except for the yellow stripe on his face""
}"
dogs,24,4,"[5, 9, 1, 7, 3, 6, 10, 4, 8, 2]","{
  ""object_#1"": ""really short, stumpy, little, long haired black dog that we've seen before with the pointy tail"",
  ""object_#2"": ""the black and white husky dog"",
  ""object_#3"": ""the skinny dog that looks like he's running with the short chain collar and short, stumpy tail, black face"",
  ""object_#4"": ""golden retriever with really long hair and really long ears"",
  ""object_#5"": ""the black dog with the really shiny coat and the stripe of the gold on his face"",
  ""object_#6"": ""black poodle, with the charm around his neck"",
  ""object_#7"": ""black, really short, like a basset hound"",
  ""object_#8"": ""Labrador, short hair, thick brown chain around his neck"",
  ""object_#9"": ""white poodle, short hair, curly"",
  ""object_#10"": ""big, yellow dog with the black spot on his belly""
}"
dogs,34,1,"[2, 8, 4, 10, 6, 3, 7, 1, 9, 5]","{
  ""object_#1"": ""In the middle of the dog is black, It's facing to your left, Has a little black tail, Half is black"",
  ""object_#2"": ""The second one...the dog is facing to your right, but the head is turned to your left, it's yellow"",
  ""object_#3"": ""The third one is like the same position, but now it's green all around, and the dog is brown, It's green outline, The third one is--it look like one of them little--little wiener dogs, It's kind of black, There's no background, it's just black and it's short and little, It's just black, No outline, it's just black, It's kind of brown, all black?"",
  ""object_#4"": ""And the thir--I mean the fifth one, it's black, but it looks like furry, and it has a collar, around the neck, It's like in a circle color, Circle, Circle, It's black--look like...little--it has furry, like--furry dogs, It's the only one with the collar, With a collar around it, Circle, It's the fur looks different from the rest of them"",
  ""object_#5"": ""Sixth one is like um… It’s skinny, It’s a skinny black dog, golden retriever, It has long ears, to the left, laying on grass"",
  ""object_#6"": ""It has a black nose, it looks like a mean dog, Both of the ears are sticking up, It’s like running"",
  ""object_#7"": ""It’s the only white dog, White with a grayish tail"",
  ""object_#8"": ""ten is the old-looking dog, sitting in grass"",
  ""object_#9"": """",
  ""object_#10"": """"
}"
dogs,34,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{
  ""object_#1"": ""The first dog has both of his ears standing up, The black dog, it has black nose, around the eyes"",
  ""object_#2"": ""The second dog is black in the middle, Has black in the middle, the outside--his legs looks yellow and orange"",
  ""object_#3"": ""The third dog is the black skinny dog"",
  ""object_#4"": ""The fourth one is sittin' in grass, it's turned to the right, but it lookin' back to the left"",
  ""object_#5"": ""the fifth dog is the old lookin' dog sittin' in grass"",
  ""object_#6"": ""the sixth dog has the collar, with the circle on it, it's black, Around the collar, Look like a name tag or something"",
  ""object_#7"": ""the seventh dog looks like it's layin' on the grass, with the long ear on the side"",
  ""object_#8"": ""the fifth dog is turned to the right, but lookin' back"",
  ""object_#9"": ""The nine dog is white--the white dog"",
  ""object_#10"": ""the ten one is the dog by itself, The little short black dog, it's kinda brown""
}"
dogs,34,3,"[6, 5, 9, 7, 1, 10, 4, 8, 2, 3]","{
  ""object_#1"": ""The first dog has the collar around it"",
  ""object_#2"": ""Second dog, is the old lookin' dog sittin' in the grass"",
  ""object_#3"": ""The third dog is white"",
  ""object_#4"": ""The fourth dog is the dog sittin' in the grass but with the long ear"",
  ""object_#5"": ""The fifth dog is the runnin'--looks like it's runnin'"",
  ""object_#6"": ""The sixth dog is the little black brownish dog with no background"",
  ""object_#7"": ""The seven dog is lookin' to your right, but turned back to the left in the grass"",
  ""object_#8"": ""The eighth one is the same dog, it's not the same dog, but he's lookin' to your right, turned back to your left, and he has the yellowish background"",
  ""object_#9"": ""The ninth dog is lookin' to the left, with the black middle, and the black tail"",
  ""object_#10"": ""The tenth dog is the black skinny dog""
}"
dogs,34,4,"[5, 9, 1, 7, 3, 6, 10, 4, 8, 2]","{
  ""object_#1"": ""sittin' on the grass, The old dog, Lookin' dog"",
  ""object_#2"": ""white dog"",
  ""object_#3"": ""runnin' dog, The one that looks like it's running"",
  ""object_#4"": ""sittin' in the grass with the long ear on the side"",
  ""object_#5"": ""skinny black dog"",
  ""object_#6"": ""dog with the circle collar, Black, With the name tag"",
  ""object_#7"": ""the black, brownish, little, short dog"",
  ""object_#8"": ""the dog sittin' in the grass with his head turned to your left"",
  ""object_#9"": """",
  ""object_#10"": ""the one--dog with the yellowish background turned to the left, the tenth dog with the black middle and the black little tail""
}"
dogs,35,1,"[2, 8, 4, 10, 6, 3, 7, 1, 9, 5]","{
  ""object_#1"": ""dog, two colors, gold and black, pattern on the back that rolls down the stomach, left side of the body, ears in the middle of the neck, one of its teeth sticking out, standing on all four"",
  ""object_#2"": ""goldish with sheep hair, not black, a little black on it, head facing right, left ear visible, folds forming an L, standing on yellow grass, half black background, half yellow background"",
  ""object_#3"": ""grayish color, not much hair, leash hanging, someone pulling the leash, brown color, tail laying out behind it, sitting down on hind legs, two front legs standing up, green grass"",
  ""object_#4"": ""smaller dog, short feet, long body, black, curly hair, no visible tail, no background, short legs, long stomach like a sausage"",
  ""object_#5"": ""yellow background, leash with a round dog tag, round circular tag, black fluffy hair, big ears, sheep dog, goldish background, body facing you slightly to the right"",
  ""object_#6"": ""hound dog, no hair, black, muscular, standing on the side, facing the same direction as dog number one, all black, brownish on the mouth and the muzzle, green background"",
  ""object_#7"": ""dog facing the same direction, more hair, brown, hair growing out from the stomach and the legs, ears falling down from the head, face up a little bit"",
  ""object_#8"": ""muscular like number six, brown/golden, brown color, ears facing up, short tail, standing on its two front legs, back legs in a running position, bulldog"",
  ""object_#9"": ""husky, white hair in the front, tongue sticking out, black hair on the back, green background"",
  ""object_#10"": ""black dog, leaning, lying down, tail up in the air""
}"
dogs,35,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{
  ""object_#1"": ""muscular dog, standing on its front two legs"",
  ""object_#2"": ""dog with the tooth in front of it, coming out of its mouth"",
  ""object_#3"": ""muscular dog with black hair, brown by its muzzle, brown on its front left paw, short hair"",
  ""object_#4"": ""dog with leash tied to the ground, tail laying on the grass, all brown, head tilted to the side"",
  ""object_#5"": ""dog with tail pointed straight up in the air, lying down in grass"",
  ""object_#6"": ""dog with collar, round metallic dog tag"",
  ""object_#7"": ""dog with long hair from the stomach and legs, ears falling off"",
  ""object_#8"": ""black on top, golden on bottom, golden hair, ears folded in the shape of an L"",
  ""object_#9"": ""husky dog, white fur, tongue sticking out, black on the back"",
  ""object_#10"": ""short legs, long body""
}"
dogs,35,3,"[6, 5, 9, 7, 1, 10, 4, 8, 2, 3]","{
  ""object_#1"": ""Dog with that metallic round circle, dog tag, on the leash"",
  ""object_#2"": ""Dog with a tail pointing out in the air, Straight up"",
  ""object_#3"": ""The husky, White hair, tongue sticking out"",
  ""object_#4"": ""Dog with the ears falling down?"",
  ""object_#5"": ""Muscular dog, Golden, Sort of leaning on the front two legs, running in the back legs"",
  ""object_#6"": ""short, black, Fuzzy hair, short legs, long body"",
  ""object_#7"": ""Dog, just sitting down on green grass, Tail lying down--tail lying out behind it"",
  ""object_#8"": ""Half black, half go--half yellow, Black on top, yellow on bottom background"",
  ""object_#9"": ""Dog number nine is a dog with a tooth sticking out of its mouth"",
  ""object_#10"": ""Dog number ten is a muscular, black…dog, Standing up""
}"
dogs,35,4,"[5, 9, 1, 7, 3, 6, 10, 4, 8, 2]","{
  ""object_#1"": ""tail sticking up in the air"",
  ""object_#2"": ""Lying down, Husky, Tongue coming out of mouth"",
  ""object_#3"": ""Muscular dog leaning on front legs, gold, brown hair"",
  ""object_#4"": ""Ears falling off"",
  ""object_#5"": ""Muscular, black, standing up straight"",
  ""object_#6"": ""dog tag, a round dog tag, metal round dog tag"",
  ""object_#7"": ""Short legs, long body"",
  ""object_#8"": ""Tail laying on the back, sitting on grass"",
  ""object_#9"": ""Half yellow, half black"",
  ""object_#10"": ""The tooth sticking out of mouth""
}"
dogs,37,1,"[2, 8, 4, 10, 6, 3, 7, 1, 9, 5]","{
  ""object_#1"": ""brown and black, with a long tail, facing the left, short nose"",
  ""object_#2"": ""facin' us, lookin' to the right"",
  ""object_#3"": ""brown, collar, big ears"",
  ""object_#4"": ""like a long dog, looks like a hotdog, black or brown, big nose"",
  ""object_#5"": ""curly hair, collar, dog tag"",
  ""object_#6"": ""Doberman pinscher, black dog, greasy, tall, brown feet"",
  ""object_#7"": ""long hair on its belly, brown, big ears"",
  ""object_#8"": ""boxer, short nose, brown, pointy ears"",
  ""object_#9"": ""husky, white and black, tongue sticking out"",
  ""object_#10"": ""tail's sticking up, blackish brown, like a beard, dark""
}"
dogs,37,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{
  ""object_#1"": ""it's got a black nose, pointy ears, and it's a brown dog"",
  ""object_#2"": ""short nose, black and brown"",
  ""object_#3"": ""a pinscher, looks greasy"",
  ""object_#4"": ""long tail, brown dog with a collar, looks like he's chained to something"",
  ""object_#5"": ""beard on his chin, tail stickin' up and back, ears stickin' up, tail stickin' straight up"",
  ""object_#6"": ""black dog with curly hair, dog tag with a circular metal"",
  ""object_#7"": ""long ears, brown dog with long ears, a lot of hair on his belly"",
  ""object_#8"": ""brown dog, looks like a lot of yellow on the bottom"",
  ""object_#9"": ""black and white dog with a tongue sticking out"",
  ""object_#10"": ""black dog, with curly hair""
}"
dogs,37,3,"[6, 5, 9, 7, 1, 10, 4, 8, 2, 3]","{
  ""object_#1"": ""black dog with curly hair with the medal, dog tag"",
  ""object_#2"": ""tail stickin' up and the beard"",
  ""object_#3"": ""black and white one with the tongue stickin' out"",
  ""object_#4"": ""the hairy belly, the long ears, head stickin' up"",
  ""object_#5"": ""brown one with the black snout and the ears stickin' up, short tail"",
  ""object_#6"": ""the hotdog, before he looked black, now he looks brown, long nose, big ears, looks like he doesn't even have legs"",
  ""object_#7"": ""dog with the tail laying on the ground, brown dog"",
  ""object_#8"": ""a lot of yellow at the bottom of it, dog's head is turned"",
  ""object_#9"": ""the one with a lot of black, in the middle"",
  ""object_#10"": ""the black dog with the Doberman""
}"
dogs,37,4,"[5, 9, 1, 7, 3, 6, 10, 4, 8, 2]","{
  ""object_#1"": ""hairy chin, tail stickin' up, short, hairy dog"",
  ""object_#2"": ""black and white dog with the tail stickin' out"",
  ""object_#3"": ""brown dog with a short nose, and a small tail"",
  ""object_#4"": ""long ears and a hairy belly"",
  ""object_#5"": ""Doberman pinscher, black dog with grease on him"",
  ""object_#6"": ""black dog with curly hair, round dog tag"",
  ""object_#7"": ""short dog"",
  ""object_#8"": ""dog with the tail laying on the ground, looking to the side"",
  ""object_#9"": ""yellow background on it, dog looking to the side"",
  ""object_#10"": ""the first on the first on the first, the second on the second""
}"
dogs,43,1,"[2, 8, 4, 10, 6, 3, 7, 1, 9, 5]","{
  ""object_#1"": ""black right in the middle, like oval, orange, back ones are kinda yellowish, black on the corner of the tail, tip of the tail is black, facing left"",
  ""object_#2"": ""orange with a bit of black on the belly, small ears, yellowish legs, background black on the upper body and yellow on the lower body, looking left, head tilted, one leg outward"",
  ""object_#3"": ""green background, light brown, sitting down, short legs, long tail, collar, head facing left while body faces right"",
  ""object_#4"": ""small, black, facing right, long mouth"",
  ""object_#5"": ""taller than the last one, black, curly hair, collar with a medallion, facing left, yellowish background"",
  ""object_#6"": ""tall, black with a bit of brown on mouth and feet, facing left"",
  ""object_#7"": ""facing left, standing up, about to sit down, brown with darker brown belly, long hair, floppy ears, lighter ears and legs, orange legs"",
  ""object_#8"": ""standing tall, black mouth with black surrounding its eyes, small ears sticking up, chain collar, orange-brownish, yellow background"",
  ""object_#9"": ""white dog with black surrounding, tongue sticking out"",
  ""object_#10"": ""small dog, black, ugly face, short tail sticking up, green background""
}"
dogs,43,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{
  ""object_#1"": ""it's standing tall, It has a black mouth with dark black surrounding around his eyes, it has small ears sticking up, has a chain collar, it's kinda brownish orange and a yellow background"",
  ""object_#2"": ""has a black belly, it's standing tall, it's looking left, has a tip of black on the tail, has a bit of black on the mouth, Kinda orangey, the first front legs are orange, and the back one has a yellow on it"",
  ""object_#3"": ""it's standing tall, It's black, It only has a bit of brown on its mouth, and on the tip of its feet"",
  ""object_#4"": ""it's sitting down, his body is towards the right, but his face is looking left, it's sitting on grass, the background's green, tail is on the floor, it's a long tail, and it has a collar"",
  ""object_#5"": ""Toto"",
  ""object_#6"": ""it's black, curly hair, has a medallion on the collar"",
  ""object_#7"": ""it has long hair, brown, darker brown hair in the middle, It's facing left, and it's standing, has floppy ears"",
  ""object_#8"": ""half black background half yellow background on the bottom"",
  ""object_#9"": ""it has his tongue stickin' out, It's white, and it has black"",
  ""object_#10"": ""it's a short dog with a long mouth""
}"
dogs,43,3,"[6, 5, 9, 7, 1, 10, 4, 8, 2, 3]","{
  ""object_#1"": ""black curly hair, collar with a medallion"",
  ""object_#2"": ""toto again"",
  ""object_#3"": ""tongue stickin' out, white dog facing left"",
  ""object_#4"": ""long hair, facing left, floppy ears, darkish brown in the belly, light around the feet"",
  ""object_#5"": ""standing tall, black mouth, black around eyes, ears standing up, chain collar"",
  ""object_#6"": ""small dog, black, short and a long mouth"",
  ""object_#7"": ""green background, sitting down on the grass, long tail on the grass, body towards the right, head facing left"",
  ""object_#8"": ""background is half black half yellow"",
  ""object_#9"": ""standing up, black on the belly, front two legs orange"",
  ""object_#10"": ""all black, bit of brown on the mouth, brown on the tips of the feet""
}"
dogs,43,4,"[5, 9, 1, 7, 3, 6, 10, 4, 8, 2]","{
  ""object_#1"": ""it's Toto"",
  ""object_#2"": ""it has its tongue sticking out, white hair with a bit of blackish, and standing up"",
  ""object_#3"": ""it's standing up tall, it has black mouth, black surrounding in the eyes, ears sticking up, and chain collar"",
  ""object_#4"": ""it has long hair, looking left, it has floppy ears"",
  ""object_#5"": ""it's all black with a bit a brown on the mouth and on the tip of the feet"",
  ""object_#6"": ""it's black short dog with a collar that has a medallion on it"",
  ""object_#7"": ""it's a short dog, kinda longish, with little feet and a big mouth"",
  ""object_#8"": ""it's sitting down on the grass, long tail, has a collar, looking left, but the body's towards the right"",
  ""object_#9"": ""the background is half black top half yellow on the bottom"",
  ""object_#10"": ""it's black belly with the two front feet""
}"
dogs,45,1,"[2, 8, 4, 10, 6, 3, 7, 1, 9, 5]","{
  ""object_#1"": ""it's standing the four legs and in the middle it's black"",
  ""object_#2"": ""The second one, those furry dogs, it's looking towards the back, one of its leg is standing out"",
  ""object_#3"": ""This one is light beige and standing on grass, it's sitting, it has a leash, and it's looking back"",
  ""object_#4"": ""it's brown, dark brown, skinny, you can only see three of its legs, can't see its tail, mouth part sticking out"",
  ""object_#5"": ""a poodle with a leash and a small circular collar"",
  ""object_#6"": ""German shepherd, black with light goldish brown on the nose and goldish brown paws, standing on grass"",
  ""object_#7"": ""golden retriever laying down on the grass, stomach area on the back darker brown, legs and head goldish, nose black"",
  ""object_#8"": ""goldish, mouth and nose part black, collar, black legs extended out, small tail"",
  ""object_#9"": ""wolf, white dog, blackish on the back"",
  ""object_#10"": ""furry dog with fur coming down on the mouth""
}"
