object_category,pair_ix,FirstRoundCardIndex,Model_Response,Round1,Round2,Round3,Round4
dogs,21,Card1,"{
    ""Round1"": ""standing in a really upright position, black stomach, golden face, golden legs, tip of its tail is black, ears are down, facing to the left, nose is black, whole body of the dog in the middle is black, gold and yellow on the out--and everywhere else"",
    ""Round2"": ""ears are down, standing straight to the left, at the end of its tail it's black"",
    ""Round3"": ""dog with the black tail, ears down, black body"",
    ""Round4"": ""dog with the black nose and black tail""
}","standing in a really upright position, black stomach, golden face, golden legs, tip of its tail is black, ears are down, facing to the left, nose is black, whole body of the dog in the middle is black, gold and yellow on the out--and everywhere else","ears are down, standing straight to the left, at the end of its tail it's black","dog with the black tail, ears down, black body",dog with the black nose and black tail
dogs,21,Card2,"{
    ""Round1"": ""very furry dog, one of those British looking dogs, looks yellow, right back leg is facing out"",
    ""Round2"": ""dog with its right back leg facing out"",
    ""Round3"": ""dog that has a leg problem"",
    ""Round4"": ""dog with the leg problem""
}","very furry dog, one of those British looking dogs, looks yellow, right back leg is facing out",dog with its right back leg facing out,dog that has a leg problem,dog with the leg problem
dogs,21,Card3,"{
    ""Round1"": ""very scary looking dog, looking to the left, got a leash on it, brown leash...around its neck"",
    ""Round2"": ""dog with the...the head facing to the left, sitting down, with the leash on it"",
    ""Round3"": ""dog sitting down, facing to the left with the leash"",
    ""Round4"": ""dog with the leash, sitting down""
}","very scary looking dog, looking to the left, got a leash on it, brown leash...around its neck","dog with the...the head facing to the left, sitting down, with the leash on it","dog sitting down, facing to the left with the leash","dog with the leash, sitting down"
dogs,21,Card4,"```json
{
    ""Round1"": ""small Chihuahua looking thing--a hotdog"",
    ""Round2"": ""the hotdog"",
    ""Round3"": ""the hotdog"",
    ""Round4"": ""the hotdog""
}
```",small Chihuahua looking thing--a hotdog,the hotdog,the hotdog,the hotdog
dogs,21,Card5,"{
    ""Round1"": ""black poodle with a golden...thing on it"",
    ""Round2"": ""poodle, with the golden coin or whatever"",
    ""Round3"": ""poodle with the...ring on its neck"",
    ""Round4"": ""poodle with the ring""
}",black poodle with a golden...thing on it,"poodle, with the golden coin or whatever",poodle with the...ring on its neck,poodle with the ring
dogs,21,Card6,"{
    ""Round1"": ""one of those Dobermans, scary"",
    ""Round2"": ""third one is the Doberman"",
    ""Round3"": ""scary looking Doberman"",
    ""Round4"": ""fifth one is that Doberman""
}","one of those Dobermans, scary",third one is the Doberman,scary looking Doberman,fifth one is that Doberman
dogs,21,Card7,"{
    ""Round1"": ""looks like a…golden retriever but in a poodle version, it's very furry, and it's brown, it's very small, ears are down, and they're very long, it's very furry, and it's facing to the left, with its h--face sticking up"",
    ""Round2"": ""the…golden retriever with the face…smelling"",
    ""Round3"": ""that golden retriever we're having problems with"",
    ""Round4"": ""that golden retriever""
}","looks like a…golden retriever but in a poodle version, it's very furry, and it's brown, it's very small, ears are down, and they're very long, it's very furry, and it's facing to the left, with its h--face sticking up",the…golden retriever with the face…smelling,that golden retriever we're having problems with,that golden retriever
dogs,21,Card8,"{
    ""Round1"": ""standing in a very, ready to attack position, black nose, yellow, or brown, ears are pointing up, no tail, very small tail, very muscular"",
    ""Round2"": ""black nose, ears upright, very muscular looking, all yellow, standing facing to the left"",
    ""Round3"": ""looks like a boxer, black nose, very muscular, built body"",
    ""Round4"": ""boxer, built body""
}","standing in a very, ready to attack position, black nose, yellow, or brown, ears are pointing up, no tail, very small tail, very muscular","black nose, ears upright, very muscular looking, all yellow, standing facing to the left","looks like a boxer, black nose, very muscular, built body","boxer, built body"
dogs,21,Card9,"{
    ""Round1"": ""looks like a Siberian husky, looks like a wolf"",
    ""Round2"": ""his head is down, the ninth one is a Siberian husky"",
    ""Round3"": ""Third is the Siberian husky"",
    ""Round4"": ""Second, Siberian husky""
}","looks like a Siberian husky, looks like a wolf","his head is down, the ninth one is a Siberian husky",Third is the Siberian husky,"Second, Siberian husky"
dogs,21,Card10,"{
    ""Round1"": ""big mustaches, black, very small, tail is pointing upright, straight up"",
    ""Round2"": ""Yorkie, tail upright"",
    ""Round3"": ""Yorkie with big mustaches"",
    ""Round4"": ""Yorkie with the mustache""
}","big mustaches, black, very small, tail is pointing upright, straight up","Yorkie, tail upright",Yorkie with big mustaches,Yorkie with the mustache
dogs,22,Card1,"{
    ""Round1"": ""it's a dog with the br--tsk, facing sideways, tail is showing, orange brown and it has a black, um...inner--like it's-- the shadow's black, I think his tongue is sticking out"",
    ""Round2"": ""the first dog with the tongue sticking out with the black shadow…on *top* but it's orange"",
    ""Round3"": ""the one with the tongue sticking out, black shadow on it, orange back, orange legs"",
    ""Round4"": ""the one with the tongue sticking out""
}","it's a dog with the br--tsk, facing sideways, tail is showing, orange brown and it has a black, um...inner--like it's-- the shadow's black, I think his tongue is sticking out",the first dog with the tongue sticking out with the black shadow…on *top* but it's orange,"the one with the tongue sticking out, black shadow on it, orange back, orange legs",the one with the tongue sticking out
dogs,22,Card2,"{
    ""Round1"": ""orange and he has a black shadow going through it, it's the orange dog"",
    ""Round2"": ""Number eight, orange in the back, orange"",
    ""Round3"": ""the one in the orange background"",
    ""Round4"": ""the golden background, with the head turned""
}","orange and he has a black shadow going through it, it's the orange dog","Number eight, orange in the back, orange",the one in the orange background,"the golden background, with the head turned"
dogs,22,Card3,"{
    ""Round1"": ""green background, has a leash"",
    ""Round2"": ""the one with the leash, his body's towards the right, his head is towards the left"",
    ""Round3"": ""facing towards the--uh, his body's towards the right, his head is towards the left, he has a leash, green background"",
    ""Round4"": ""the one with the leash, his head turned, green background""
}","green background, has a leash","the one with the leash, his body's towards the right, his head is towards the left","facing towards the--uh, his body's towards the right, his head is towards the left, he has a leash, green background","the one with the leash, his head turned, green background"
dogs,22,Card4,"{
    ""Round1"": ""It's brown, and it's um, facing to the right, It doesn't have a leash on it, It's very small, his face is towards the right, and the long ears, Big ears"",
    ""Round2"": ""with droopy ears and long nose"",
    ""Round3"": ""the long nose one"",
    ""Round4"": ""the long nose""
}","It's brown, and it's um, facing to the right, It doesn't have a leash on it, It's very small, his face is towards the right, and the long ears, Big ears",with droopy ears and long nose,the long nose one,the long nose
dogs,22,Card5,"{
    ""Round1"": ""with a r--golden necklace"",
    ""Round2"": ""with the golden necklace"",
    ""Round3"": ""the circle"",
    ""Round4"": ""the circle""
}",with a r--golden necklace,with the golden necklace,the circle,the circle
dogs,22,Card6,"{
    ""Round1"": ""very tall, black"",
    ""Round2"": ""tall, black, facing to the left"",
    ""Round3"": ""black, tall"",
    ""Round4"": ""tall, black""
}","very tall, black","tall, black, facing to the left","black, tall","tall, black"
dogs,22,Card7,"{
    ""Round1"": ""facing towards the left, looks like Lassie, very hairy, brownish"",
    ""Round2"": ""he's facing towards the left"",
    ""Round3"": ""the hairy one facing to the left, he's hairy"",
    ""Round4"": ""Lassie""
}","facing towards the left, looks like Lassie, very hairy, brownish",he's facing towards the left,"the hairy one facing to the left, he's hairy",Lassie
dogs,22,Card8,"{
    ""Round1"": ""bulldog, with a chain, facing towards the left"",
    ""Round2"": ""bulldog, with the chain"",
    ""Round3"": ""bulldog, with the chain"",
    ""Round4"": ""bulldog with the leash""
}","bulldog, with a chain, facing towards the left","bulldog, with the chain","bulldog, with the chain",bulldog with the leash
dogs,22,Card9,"{
    ""Round1"": ""like a, uh--a wolf"",
    ""Round2"": ""like the snow, fox"",
    ""Round3"": ""the snow one? The...wolf"",
    ""Round4"": ""the snow fox one""
}","like a, uh--a wolf","like the snow, fox",the snow one? The...wolf,the snow fox one
dogs,22,Card10,"{
    ""Round1"": ""it's black, it's in grass"",
    ""Round2"": ""It's in the grass background, he has like a mustache or something?"",
    ""Round3"": ""the mustache"",
    ""Round4"": ""Mustache""
}","it's black, it's in grass","It's in the grass background, he has like a mustache or something?",the mustache,Mustache
dogs,23,Card1,"{
    ""Round1"": ""standing upright, patch of black around his stomach and back area, legs are more like a camel color, black tip on his tail"",
    ""Round2"": ""black patch, first dog we looked at"",
    ""Round3"": ""first dog we ever looked at, black patch on his stomach"",
    ""Round4"": ""first dog we looked at, black patch""
}","standing upright, patch of black around his stomach and back area, legs are more like a camel color, black tip on his tail","black patch, first dog we looked at","first dog we ever looked at, black patch on his stomach","first dog we looked at, black patch"
dogs,23,Card2,"{
    ""Round1"": ""he's furry, white legs, patch of black on his butt, maybe like, a little bit of fur, he's looking at his tail, the one that you're talking about I think is sitting, the one I’m talking about is standing, he have like a black outline, and a yellow on the bottom"",
    ""Round2"": ""he looks like he's biting his butt, the yellow outline at the bottom, and the black on top"",
    ""Round3"": ""yellow bottom, black"",
    ""Round4"": ""the dog that looks like he's biting his butt, yellow on the bottom, black on top""
}","he's furry, white legs, patch of black on his butt, maybe like, a little bit of fur, he's looking at his tail, the one that you're talking about I think is sitting, the one I’m talking about is standing, he have like a black outline, and a yellow on the bottom","he looks like he's biting his butt, the yellow outline at the bottom, and the black on top","yellow bottom, black","the dog that looks like he's biting his butt, yellow on the bottom, black on top"
dogs,23,Card3,"{
    ""Round1"": ""he's sitting down, brown collar on him, surrounded by green"",
    ""Round2"": ""he's looking at his tail, he's sitting down, green outline"",
    ""Round3"": ""he's sitting down, he's looking towards, green outline"",
    ""Round4"": ""the dog with the green outline, he looks at his tail""
}","he's sitting down, brown collar on him, surrounded by green","he's looking at his tail, he's sitting down, green outline","he's sitting down, he's looking towards, green outline","the dog with the green outline, he looks at his tail"
dogs,23,Card4,"{
    ""Round1"": ""the really short dog, looks like a weiner"",
    ""Round2"": ""the short, weiner dog"",
    ""Round3"": ""the weiner dog"",
    ""Round4"": ""the weiner dog""
}","the really short dog, looks like a weiner","the short, weiner dog",the weiner dog,the weiner dog
dogs,23,Card5,"{
    ""Round1"": ""he's all black, shiny collar thing"",
    ""Round2"": ""black one, circular thing on his collar"",
    ""Round3"": ""the one with the circle thing on his collar"",
    ""Round4"": ""poodle with the circle thing on his collar""
}","he's all black, shiny collar thing","black one, circular thing on his collar",the one with the circle thing on his collar,poodle with the circle thing on his collar
dogs,23,Card6,"{
    ""Round1"": ""looks like a Doberman, shiny black, outlined in green"",
    ""Round2"": ""looks like a Doberman, shiny all over, black"",
    ""Round3"": ""the Doberman, shiny all over, black"",
    ""Round4"": ""the shiny black dog, Doberman""
}","looks like a Doberman, shiny black, outlined in green","looks like a Doberman, shiny all over, black","the Doberman, shiny all over, black","the shiny black dog, Doberman"
dogs,23,Card7,"{
    ""Round1"": ""looks like a cocker spaniel, longish hair, looking up"",
    ""Round2"": ""got brown hair, his ears droop, like the cocker spaniel"",
    ""Round3"": ""the cocker spaniel, tan color with droopy ears, wavy, looks like human hair"",
    ""Round4"": ""the cocker spaniel, looks like he has human hair""
}","looks like a cocker spaniel, longish hair, looking up","got brown hair, his ears droop, like the cocker spaniel","the cocker spaniel, tan color with droopy ears, wavy, looks like human hair","the cocker spaniel, looks like he has human hair"
dogs,23,Card8,"{
    ""Round1"": ""looks like a bulldog, legs look like he's digging into the ground, sad face"",
    ""Round2"": ""the dog with the sad puppy face, his legs are digging into the ground behind him"",
    ""Round3"": ""like the bulldog"",
    ""Round4"": ""the bulldog""
}","looks like a bulldog, legs look like he's digging into the ground, sad face","the dog with the sad puppy face, his legs are digging into the ground behind him",like the bulldog,the bulldog
dogs,23,Card9,"{
    ""Round1"": ""like the wolf dog, white tail"",
    ""Round2"": ""the wolf"",
    ""Round3"": ""the wolf"",
    ""Round4"": ""the wolf""
}","like the wolf dog, white tail",the wolf,the wolf,the wolf
dogs,23,Card10,"{
    ""Round1"": ""short one, beard, tail is pointing up, he's all black, ears are droopy, brown fur"",
    ""Round2"": ""beard, curly hair, black, his ears are pointing upwards"",
    ""Round3"": ""the one with the ears, tail sticking up, short"",
    ""Round4"": ""little dog, furry, black, ears point up""
}","short one, beard, tail is pointing up, he's all black, ears are droopy, brown fur","beard, curly hair, black, his ears are pointing upwards","the one with the ears, tail sticking up, short","little dog, furry, black, ears point up"
dogs,24,Card1,"```json
{
    ""Round1"": ""yellow, big black spot on the center, long ears, wide snout, looks orange, black spot in the middle of his nose, eyebrow is black, tail is yellow on top, black towards the end"",
    ""Round2"": ""largest spot"",
    ""Round3"": ""huge spot on his torso"",
    ""Round4"": ""big, yellow dog with the black spot on his belly""
}
```","yellow, big black spot on the center, long ears, wide snout, looks orange, black spot in the middle of his nose, eyebrow is black, tail is yellow on top, black towards the end",largest spot,huge spot on his torso,"big, yellow dog with the black spot on his belly"
dogs,24,Card2,"{
    ""Round1"": ""this dog has curly hair, short ears, he's mostly yellow, he's probably a white dog, he's got a black spot about the size of...it's covering pretty much his whole center of his body, the second dog has curly hair, and the first dog doesn't, it's longer"",
    ""Round2"": ""a short haired dog, really curly hair, all white, maybe there's a black spot"",
    ""Round3"": ""a white--he's kind of tall, he's like a poodle-ish, but not, like, so fro-ey"",
    ""Round4"": ""a white--I think he might be a poodle, with his hair cut off, he has short hair, but it's curly, and it's white""
}","this dog has curly hair, short ears, he's mostly yellow, he's probably a white dog, he's got a black spot about the size of...it's covering pretty much his whole center of his body, the second dog has curly hair, and the first dog doesn't, it's longer","a short haired dog, really curly hair, all white, maybe there's a black spot","a white--he's kind of tall, he's like a poodle-ish, but not, like, so fro-ey","a white--I think he might be a poodle, with his hair cut off, he has short hair, but it's curly, and it's white"
dogs,24,Card3,"```json
{
    ""Round1"": ""short-haired dog, ears are darker than his body, tail's kinda long, wearing a collar"",
    ""Round2"": ""beagle face, all yellow, thicker collar, yellow body, black ears, kind of like a retriever face, medium sized dog, sitting, looking towards the side, brown collar, body is facing the right, face turning towards the left"",
    ""Round3"": ""body is facing the right, face is facing the left, looking towards something"",
    ""Round4"": ""Labrador, short hair, thick brown chain around his neck""
}
```","short-haired dog, ears are darker than his body, tail's kinda long, wearing a collar","beagle face, all yellow, thicker collar, yellow body, black ears, kind of like a retriever face, medium sized dog, sitting, looking towards the side, brown collar, body is facing the right, face turning towards the left","body is facing the right, face is facing the left, looking towards something","Labrador, short hair, thick brown chain around his neck"
dogs,24,Card4,"```json
{
    ""Round1"": ""all black, short, very short legs, hair is short, curly, long torso, long snout"",
    ""Round2"": ""really short, little, black thing, short hair"",
    ""Round3"": ""very short haired, curly hair, all black, completely black, very short feet, short and black and curly hair, kind of a longer snout"",
    ""Round4"": ""really short, black""
}
```","all black, short, very short legs, hair is short, curly, long torso, long snout","really short, little, black thing, short hair","very short haired, curly hair, all black, completely black, very short feet, short and black and curly hair, kind of a longer snout","really short, black"
dogs,24,Card5,"{
    ""Round1"": ""a black poodle, with a collar, with like a big round charm on it"",
    ""Round2"": ""the black poodle with the little charm"",
    ""Round3"": ""the poodle with the charm, He's looking to the left"",
    ""Round4"": ""Black poodle, with the little, charm around his neck""
}","a black poodle, with a collar, with like a big round charm on it",the black poodle with the little charm,"the poodle with the charm, He's looking to the left","Black poodle, with the little, charm around his neck"
dogs,24,Card6,"{
    ""Round1"": ""very short hair, all black except for his snout, part light brown, mean dog, very shiny coat"",
    ""Round2"": ""all black, little stripe of yellow on his, uh, cheek, yellow paws, shiny coat, short fur"",
    ""Round3"": ""very skinny, very shiny coat, all black except for the yellow stripe on his face"",
    ""Round4"": ""black dog with the really shiny coat, stripe of the gold on his face""
}","very short hair, all black except for his snout, part light brown, mean dog, very shiny coat","all black, little stripe of yellow on his, uh, cheek, yellow paws, shiny coat, short fur","very skinny, very shiny coat, all black except for the yellow stripe on his face","black dog with the really shiny coat, stripe of the gold on his face"
dogs,24,Card7,"```json
{
    ""Round1"": ""long haired, pretty dog, darker around his torso, lighter around his legs, lightest part of him, tan colored dog, only tan colored dog left with long hair, hair almost touching the ground"",
    ""Round2"": ""really long haired, retriever face, pointing with his nose"",
    ""Round3"": ""long haired dog that's pointing to the sky with his nose"",
    ""Round4"": ""really long hair, almost touching the ground, a golden retriever, more brown, his face is different, lighter than his body, pointing to the sky, longer ears""
}
```","long haired, pretty dog, darker around his torso, lighter around his legs, lightest part of him, tan colored dog, only tan colored dog left with long hair, hair almost touching the ground","really long haired, retriever face, pointing with his nose",long haired dog that's pointing to the sky with his nose,"really long hair, almost touching the ground, a golden retriever, more brown, his face is different, lighter than his body, pointing to the sky, longer ears"
dogs,24,Card8,"```json
{
    ""Round1"": ""pointy ears, yellow body, black snout that's kinda short compared to the other dogs, big eyes, short tail, chain collar"",
    ""Round2"": ""all yellow body, black snout, pointy ears, with the collar"",
    ""Round3"": ""very short hair, all yellow body, black snout, short snout, really pointy ears, short tail, got a collar, a little chain collar, skinner than the other dogs that are all yellow"",
    ""Round4"": ""skinny dog that looks like he's running with the short chain collar and short, stumpy tail, black face""
}
```","pointy ears, yellow body, black snout that's kinda short compared to the other dogs, big eyes, short tail, chain collar","all yellow body, black snout, pointy ears, with the collar","very short hair, all yellow body, black snout, short snout, really pointy ears, short tail, got a collar, a little chain collar, skinner than the other dogs that are all yellow","skinny dog that looks like he's running with the short chain collar and short, stumpy tail, black face"
dogs,24,Card9,"{
    ""Round1"": ""husky, black and white, sticking his tongue out"",
    ""Round2"": ""husky, black and white dog, really different looking than the other dogs"",
    ""Round3"": ""the husky, the black and white dog, with his tongue hanging out"",
    ""Round4"": ""the black and white husky dog""
}","husky, black and white, sticking his tongue out","husky, black and white dog, really different looking than the other dogs","the husky, the black and white dog, with his tongue hanging out",the black and white husky dog
dogs,24,Card10,"{
    ""Round1"": ""his hair is--uh, it drapes all the way from his body to the ground, very small dog, short tail, pointy ears, black dog"",
    ""Round2"": ""all black, longest haired dog, short little thing, little stumpy tail, his hair reaches the ground, very hairy, like a big mop, little black mop"",
    ""Round3"": ""the short little stumpy dog with the moppy hair"",
    ""Round4"": ""really short, stumpy, little, long haired black dog, pointy tail, moppy one""
}","his hair is--uh, it drapes all the way from his body to the ground, very small dog, short tail, pointy ears, black dog","all black, longest haired dog, short little thing, little stumpy tail, his hair reaches the ground, very hairy, like a big mop, little black mop",the short little stumpy dog with the moppy hair,"really short, stumpy, little, long haired black dog, pointy tail, moppy one"
dogs,34,Card1,"{
    ""Round1"": ""black, little black tail, half is black"",
    ""Round2"": ""black in the middle, outside--like his legs looks like yellow and orange"",
    ""Round3"": ""black middle, black tail"",
    ""Round4"": ""black middle, black little tail""
}","black, little black tail, half is black","black in the middle, outside--like his legs looks like yellow and orange","black middle, black tail","black middle, black little tail"
dogs,34,Card2,"{
    ""Round1"": ""dog is facing to your right, head is turned to your left, yellow"",
    ""Round2"": ""fifth dog is turned to the right, lookin' back"",
    ""Round3"": ""eighth one is the same dog, lookin' to your right, turned back to your left, yellowish background"",
    ""Round4"": ""tenth dog is the one, dog with the yellowish background turned to the left""
}","dog is facing to your right, head is turned to your left, yellow","fifth dog is turned to the right, lookin' back","eighth one is the same dog, lookin' to your right, turned back to your left, yellowish background","tenth dog is the one, dog with the yellowish background turned to the left"
dogs,34,Card3,"{
    ""Round1"": ""green all around, like a brown"",
    ""Round2"": ""sittin' in grass, turned to the right, lookin' back to the left"",
    ""Round3"": ""lookin' to your right, but turned back to the left in the grass"",
    ""Round4"": ""sittin' in the grass with his head turned to your left""
}","green all around, like a brown","sittin' in grass, turned to the right, lookin' back to the left","lookin' to your right, but turned back to the left in the grass",sittin' in the grass with his head turned to your left
dogs,34,Card4,"{
    ""Round1"": ""wiener dogs, kind of black, just black and it's short and little, no outline, it's just black"",
    ""Round2"": ""little short black dog"",
    ""Round3"": ""black little--black brownish dog with no background, Short one"",
    ""Round4"": ""black, brownish, little, short dog""
}","wiener dogs, kind of black, just black and it's short and little, no outline, it's just black",little short black dog,"black little--black brownish dog with no background, Short one","black, brownish, little, short dog"
dogs,34,Card5,"{
    ""Round1"": ""it's black, but it looks like furry, and it has a collar, uh, around the neck, it's the only one with the collar, with a collar around it, the fur looks different from the rest of them"",
    ""Round2"": ""the dog collar with the circle on it, it's black, around the collar, look like a...a name tag or something"",
    ""Round3"": ""the first dog has the collar around it, it's black"",
    ""Round4"": ""the dog with the circle collar, black, with the name tag""
}","it's black, but it looks like furry, and it has a collar, uh, around the neck, it's the only one with the collar, with a collar around it, the fur looks different from the rest of them","the dog collar with the circle on it, it's black, around the collar, look like a...a name tag or something","the first dog has the collar around it, it's black","the dog with the circle collar, black, with the name tag"
dogs,34,Card6,"{
    ""Round1"": ""skinny black dog"",
    ""Round2"": ""black skinny dog"",
    ""Round3"": ""black skinny dog"",
    ""Round4"": ""skinny black dog""
}",skinny black dog,black skinny dog,black skinny dog,skinny black dog
dogs,34,Card7,"{
    ""Round1"": ""long ears, like he's layin' on grass"",
    ""Round2"": ""layin' on the grass, with the long ear on the side"",
    ""Round3"": ""dog sittin' in the grass but with the long ear"",
    ""Round4"": ""sittin' in the grass with the long ear on the side""
}","long ears, like he's layin' on grass","layin' on the grass, with the long ear on the side",dog sittin' in the grass but with the long ear,sittin' in the grass with the long ear on the side
dogs,34,Card8,"{
    ""Round1"": ""black nose, like a mean dog, both of the ears are sticking up"",
    ""Round2"": ""both of his ears standing up, black dog, black nose, around the eyes"",
    ""Round3"": ""runnin'--looks like it's runnin'"",
    ""Round4"": ""runnin' dog, looks like it's running""
}","black nose, like a mean dog, both of the ears are sticking up","both of his ears standing up, black dog, black nose, around the eyes",runnin'--looks like it's runnin',"runnin' dog, looks like it's running"
dogs,34,Card9,"{
    ""Round1"": ""only white dog, white with a grayish t"",
    ""Round2"": ""is white--the white dog"",
    ""Round3"": ""is white"",
    ""Round4"": ""is the white dog""
}","only white dog, white with a grayish t",is white--the white dog,is white,is the white dog
dogs,34,Card10,"{
    ""Round1"": ""old looking dog, sittin' in grass"",
    ""Round2"": ""old lookin' dog sittin' in grass"",
    ""Round3"": ""old lookin' dog sittin' in the grass"",
    ""Round4"": ""old dog, Lookin' dog""
}","old looking dog, sittin' in grass",old lookin' dog sittin' in grass,old lookin' dog sittin' in the grass,"old dog, Lookin' dog"
dogs,35,Card1,"{
    ""Round1"": ""a dog, obviously, and it ha--two colors Um, kinda gold, and black Pattern You can see the side of the dog It's facing, um, side Um...kinda like a black pattern on the back which rolls down the stomach it's got sort of ears in the middle of its neck one of its teeth is sticking out of its mouth sort of leaning on two forward legs, two back legs, and sort of on the toes a little bit? Back right leg is facing the left leg standing on all four, and it's facing--you could see the side of the body you could see its left side of the body the big black spot Sort of roundish? sort of covering the stomach"",
    ""Round2"": ""that dog with the tooth in front of it--coming out of its mouth with the black spot"",
    ""Round3"": ""a dog with a tooth sticking out of its mouth"",
    ""Round4"": ""the tooth sticking out of mouth""
}","a dog, obviously, and it ha--two colors Um, kinda gold, and black Pattern You can see the side of the dog It's facing, um, side Um...kinda like a black pattern on the back which rolls down the stomach it's got sort of ears in the middle of its neck one of its teeth is sticking out of its mouth sort of leaning on two forward legs, two back legs, and sort of on the toes a little bit? Back right leg is facing the left leg standing on all four, and it's facing--you could see the side of the body you could see its left side of the body the big black spot Sort of roundish? sort of covering the stomach",that dog with the tooth in front of it--coming out of its mouth with the black spot,a dog with a tooth sticking out of its mouth,the tooth sticking out of mouth
dogs,35,Card2,"{
    ""Round1"": ""it's got kind of--it looks like it's got like sheep hair to it, sort of curly sheep hair, it's again goldish, it's got a little bit of black on it, its head is facing, um, tilted towards the right, its left ear--you could--you can only see its left ear, sort of bent, sort of folds in, folds like, uh--makes a shape of a 'L'"",
    ""Round2"": ""a dog which in the--in the black and the golden background, black on top, golden on bottom, golden hair, black uh, back, ears sort of folds in the shape of an 'L', upside down 'L'"",
    ""Round3"": ""half black, half go--half yellow, black on top, yellow on bottom background"",
    ""Round4"": ""half yellow, half black""
}","it's got kind of--it looks like it's got like sheep hair to it, sort of curly sheep hair, it's again goldish, it's got a little bit of black on it, its head is facing, um, tilted towards the right, its left ear--you could--you can only see its left ear, sort of bent, sort of folds in, folds like, uh--makes a shape of a 'L'","a dog which in the--in the black and the golden background, black on top, golden on bottom, golden hair, black uh, back, ears sort of folds in the shape of an 'L', upside down 'L'","half black, half go--half yellow, black on top, yellow on bottom background","half yellow, half black"
