experiment,prompt_strategy,director_model,matcher_model,session_id,round,object_num,basket_id,left_extractor,left_gpt_model,right_extractor,right_gpt_model,left_re_words,right_re_words,word_count_delta_right_minus_left,multiset_jaccard,left_referring_expression,right_referring_expression
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,1,8,8,deterministic,,deterministic,,58,58,0,1.0,"a short, squat oval basket with one arched handle. It’s mostly dark gray/blackish wicker, but has noticeable pale/whitish horizontal bands/stripes wrapping around the body near the middle and bottom. has a dark (almost black/charcoal) handle and body, with two lighter whitish horizontal bands: one around the middle and another closer to the bottom.","a short, squat oval basket with one arched handle. It’s mostly dark gray/blackish wicker, but has noticeable pale/whitish horizontal bands/stripes wrapping around the body near the middle and bottom. has a dark (almost black/charcoal) handle and body, with two lighter whitish horizontal bands: one around the middle and another closer to the bottom."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,1,9,9,deterministic,,deterministic,,36,36,0,1.0,"a tall, straight-sided cylindrical wicker basket (like a small hamper). It has TWO small loop handles right near the rim, and the weave looks like vertical slats with some open rectangular gaps near the top.","a tall, straight-sided cylindrical wicker basket (like a small hamper). It has TWO small loop handles right near the rim, and the weave looks like vertical slats with some open rectangular gaps near the top."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,2,1,1,deterministic,,deterministic,,53,53,0,1.0,"a light tan wicker picnic-style basket with a tall central upright handle, and a matching lid that’s hinged/partly flipped open (so it looks like a lidded hamper rather than an open basket). Let me know when you’ve got it. ’s lid is clearly propped open/ajar (not closed). Now","a light tan wicker picnic-style basket with a tall central upright handle, and a matching lid that’s hinged/partly flipped open (so it looks like a lidded hamper rather than an open basket). Let me know when you’ve got it. ’s lid is clearly propped open/ajar (not closed). Now"
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,2,10,10,deterministic,,deterministic,,57,57,0,1.0,"a chunky woven bucket: a tall-ish cylindrical brown basket with an open top and TWO small loop handles on the sides near the rim (no big arch handle). The weave looks thick and rugged. Confirm when you’ve placed yes, the handles are two small upright loop handles right at the rim (not big cutout grips).","a chunky woven bucket: a tall-ish cylindrical brown basket with an open top and TWO small loop handles on the sides near the rim (no big arch handle). The weave looks thick and rugged. Confirm when you’ve placed yes, the handles are two small upright loop handles right at the rim (not big cutout grips)."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,2,11,11,deterministic,,deterministic,,45,45,0,1.0,"a small oval/boat-shaped light straw basket with one arch handle; it has a noticeable bluish-gray band around the middle of the body, and the handle joints have colored wraps/straps (reddish/purple) where the handle meets the sides. Confirm when you place","a small oval/boat-shaped light straw basket with one arch handle; it has a noticeable bluish-gray band around the middle of the body, and the handle joints have colored wraps/straps (reddish/purple) where the handle meets the sides. Confirm when you place"
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,2,12,12,deterministic,,deterministic,,46,46,0,1.0,"a light-brown rectangular/boxy basket with rounded corners and a single arch handle. The sides are quite open/see-through (lattice weave), and the handle comes up from thicker side uprights—overall pretty uniform tan with no colored bands. Confirm when placed as position 12.","a light-brown rectangular/boxy basket with rounded corners and a single arch handle. The sides are quite open/see-through (lattice weave), and the handle comes up from thicker side uprights—overall pretty uniform tan with no colored bands. Confirm when placed as position 12."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,2,2,2,deterministic,,deterministic,,61,61,0,1.0,"a tall, straight-sided cylindrical wicker basket (like a brown bucket) with an open top and small loop handles near the rim (one on the right). The upper band has more open vertical gaps/slats compared to the tighter weave below. Confirm when placed. the tall cylinder with the small loop handles near the rim (not the shorter wide tub). Now","a tall, straight-sided cylindrical wicker basket (like a brown bucket) with an open top and small loop handles near the rim (one on the right). The upper band has more open vertical gaps/slats compared to the tighter weave below. Confirm when placed. the tall cylinder with the small loop handles near the rim (not the shorter wide tub). Now"
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,2,3,3,deterministic,,deterministic,,48,48,0,1.0,"a deep, round bowl-shaped wicker basket with a single thick dark-brown arched handle over the top; the body is lighter tan with a darker band around the rim. Confirm when you’ve placed it. ’s handle is very dark (almost black) and thicker than most. Now","a deep, round bowl-shaped wicker basket with a single thick dark-brown arched handle over the top; the body is lighter tan with a darker band around the rim. Confirm when you’ve placed it. ’s handle is very dark (almost black) and thicker than most. Now"
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,2,4,4,deterministic,,deterministic,,45,45,0,1.0,a small shallow golden-tan basket with a HUGE high arch handle made of twisted rope-like strands; the body is low and rectangular/oval with a chunky checkerboard weave. Confirm when placed. ’s handle is thick and twisted like rope (not smooth cane). Now,a small shallow golden-tan basket with a HUGE high arch handle made of twisted rope-like strands; the body is low and rectangular/oval with a chunky checkerboard weave. Confirm when placed. ’s handle is thick and twisted like rope (not smooth cane). Now
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,2,5,5,deterministic,,deterministic,,79,79,0,1.0,"a squat oval basket with a dark charcoal/gray woven body and a lighter band at the very bottom; it has one thick gray arch handle with a darker brown strip running along the top of the handle. Confirm when you’ve placed ’s body is predominantly dark charcoal/black, and the lighter/whitish part is basically just a band at the very bottom (not greenish overall). The handle is gray with a darker brown strip along the top.","a squat oval basket with a dark charcoal/gray woven body and a lighter band at the very bottom; it has one thick gray arch handle with a darker brown strip running along the top of the handle. Confirm when you’ve placed ’s body is predominantly dark charcoal/black, and the lighter/whitish part is basically just a band at the very bottom (not greenish overall). The handle is gray with a darker brown strip along the top."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,2,6,6,deterministic,,deterministic,,71,71,0,1.0,"the animal-shaped wicker basket: a golden honey-brown oval body with a duck/goose-like head sticking out on one end (side profile), including a small colored eye detail. It’s lidded and looks like a woven bird rather than a normal basket. Confirm when you’ve got it. the elongated duck/goose side-profile with the head sticking out; NOT the round cat-face one (that round animal is","the animal-shaped wicker basket: a golden honey-brown oval body with a duck/goose-like head sticking out on one end (side profile), including a small colored eye detail. It’s lidded and looks like a woven bird rather than a normal basket. Confirm when you’ve got it. the elongated duck/goose side-profile with the head sticking out; NOT the round cat-face one (that round animal is"
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,2,7,7,deterministic,,deterministic,,33,33,0,1.0,"). the round, dome-like lidded basket with a cat face on top (whiskers/nose and two small colored eyes), sitting on little feet. Go ahead and place that as position 7 and confirm.","). the round, dome-like lidded basket with a cat face on top (whiskers/nose and two small colored eyes), sitting on little feet. Go ahead and place that as position 7 and confirm."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,2,8,8,deterministic,,deterministic,,61,61,0,1.0,"a very shallow, wide round tray-basket (almost like a flat plate) with a clear spiral/coil weave pattern in the base. It’s pale straw-colored with a slightly darker rim, and has one thin light arched handle attached on opposite sides. Confirm when placed. the flat pale tray with the spiral base (not the deeper orange round one). Now","a very shallow, wide round tray-basket (almost like a flat plate) with a clear spiral/coil weave pattern in the base. It’s pale straw-colored with a slightly darker rim, and has one thin light arched handle attached on opposite sides. Confirm when placed. the flat pale tray with the spiral base (not the deeper orange round one). Now"
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,2,9,9,deterministic,,deterministic,,31,31,0,1.0,a boxy rectangular basket with a single brown arch handle; the body is dark green/teal with tan/orange trim along the top rim and bottom edge. Confirm when you place,a boxy rectangular basket with a single brown arch handle; the body is dark green/teal with tan/orange trim along the top rim and bottom edge. Confirm when you place
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,3,1,1,deterministic,,deterministic,,80,80,0,1.0,"a rectangular picnic-style basket with one very tall arch handle. The sides are a dark green/teal weave with vertical tan stakes showing, and it has a natural tan rim and tan base (two-tone: dark sides, light top/bottom). Let me know when you’ve got that one. should be the only one with that dark green/teal weave on the sides. It’s rectangular with a tall single arch handle and tan rim/base (strong two-tone).","a rectangular picnic-style basket with one very tall arch handle. The sides are a dark green/teal weave with vertical tan stakes showing, and it has a natural tan rim and tan base (two-tone: dark sides, light top/bottom). Let me know when you’ve got that one. should be the only one with that dark green/teal weave on the sides. It’s rectangular with a tall single arch handle and tan rim/base (strong two-tone)."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,3,10,10,deterministic,,deterministic,,68,68,0,1.0,"a big deep bucket/cylinder basket with an open top and TWO short side handles (little ear-shaped grips on opposite sides, not an arch). The weave is chunky and looks diagonally patterned/chevron-like, overall medium brown. the big deep bucket with TWO short ear-like side handles and a chunky diagonal/chevron weave. It’s not the vertically striped barrel with small loop handles (that was","a big deep bucket/cylinder basket with an open top and TWO short side handles (little ear-shaped grips on opposite sides, not an arch). The weave is chunky and looks diagonally patterned/chevron-like, overall medium brown. the big deep bucket with TWO short ear-like side handles and a chunky diagonal/chevron weave. It’s not the vertically striped barrel with small loop handles (that was"
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,3,11,11,deterministic,,deterministic,,88,88,0,1.0,"a very shallow, wide round tray-like basket with ONE thin arch handle. The base shows a clear spiral/concentric-ring pattern, and there’s a darker reddish-brown band around the rim compared to the lighter tan center. Let me know when you’ve placed the flat round spiral one. extremely shallow, basically a flat serving-tray basket with one thin arch handle and a very visible spiral/concentric base pattern plus a darker reddish-brown rim band. Not the deeper round bucket with a tall handle.","a very shallow, wide round tray-like basket with ONE thin arch handle. The base shows a clear spiral/concentric-ring pattern, and there’s a darker reddish-brown band around the rim compared to the lighter tan center. Let me know when you’ve placed the flat round spiral one. extremely shallow, basically a flat serving-tray basket with one thin arch handle and a very visible spiral/concentric base pattern plus a darker reddish-brown rim band. Not the deeper round bucket with a tall handle."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,3,12,12,deterministic,,deterministic,,47,47,0,1.0,"a rectangular picnic-style basket with TWO lid flaps on top (they meet in the middle) and one tall central wicker handle. No metal frame—just wicker. It’s golden-tan with a tight vertical weave. If that matches what you see, place it in position 12.","a rectangular picnic-style basket with TWO lid flaps on top (they meet in the middle) and one tall central wicker handle. No metal frame—just wicker. It’s golden-tan with a tight vertical weave. If that matches what you see, place it in position 12."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,3,2,2,deterministic,,deterministic,,50,50,0,1.0,"a shallow oval wicker basket in very light tan/cream (almost whitewashed). It has one arch handle, and the handle is distinctive—there are white wrapped sections near the top, plus small reddish-brown connector bits/straps where the handle attaches on both sides. Confirm when you’ve placed it.","a shallow oval wicker basket in very light tan/cream (almost whitewashed). It has one arch handle, and the handle is distinctive—there are white wrapped sections near the top, plus small reddish-brown connector bits/straps where the handle attaches on both sides. Confirm when you’ve placed it."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,3,3,3,deterministic,,deterministic,,65,65,0,1.0,"the round lidded novelty basket shaped like a cat head: you see a cat face on top (whiskers, little nose, small bluish eyes). It’s a light tan wicker sphere sitting on tiny feet. Confirm when you spot the cat-face one. the front-facing cat-head lid (you see the face straight on with whiskers and bluish eyes), not the side-profile animal shape.","the round lidded novelty basket shaped like a cat head: you see a cat face on top (whiskers, little nose, small bluish eyes). It’s a light tan wicker sphere sitting on tiny feet. Confirm when you spot the cat-face one. the front-facing cat-head lid (you see the face straight on with whiskers and bluish eyes), not the side-profile animal shape."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,3,4,4,deterministic,,deterministic,,73,73,0,1.0,"the woven novelty basket shaped like a side-profile animal (mouse/rat). It’s an oval body with a pointed snout on the right, a small dark eye near the snout, and a single flat strap-like handle on top (not an arch). Light tan wicker overall. Confirm when you’ve got the side-profile animal one. the side-profile animal with the snout pointing right (not the front-facing cat head). Now","the woven novelty basket shaped like a side-profile animal (mouse/rat). It’s an oval body with a pointed snout on the right, a small dark eye near the snout, and a single flat strap-like handle on top (not an arch). Light tan wicker overall. Confirm when you’ve got the side-profile animal one. the side-profile animal with the snout pointing right (not the front-facing cat head). Now"
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,3,5,5,deterministic,,deterministic,,81,81,0,1.0,"a medium-brown, tall oval basket with an open top and one smooth arch handle. The sides have a very regular vertical slat-like weave (looks like thin upright ribs), and it’s more upright/deeper than the shallow pale oval basket. the handle is the same medium-brown as the body, and the opening is an oval that reads a bit squared/rectangular (not perfectly round). The key cue is that very uniform vertical ribbed/slat weave on the sides.","a medium-brown, tall oval basket with an open top and one smooth arch handle. The sides have a very regular vertical slat-like weave (looks like thin upright ribs), and it’s more upright/deeper than the shallow pale oval basket. the handle is the same medium-brown as the body, and the opening is an oval that reads a bit squared/rectangular (not perfectly round). The key cue is that very uniform vertical ribbed/slat weave on the sides."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,3,6,6,deterministic,,deterministic,,35,35,0,1.0,"a tall cylindrical/barrel basket, darker brown, with TWO small loop handles near the top rim (one on each side). No big arch handle—just the little side loops. The weave looks vertically banded/striped. ).","a tall cylindrical/barrel basket, darker brown, with TWO small loop handles near the top rim (one on each side). No big arch handle—just the little side loops. The weave looks vertically banded/striped. )."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,3,7,7,deterministic,,deterministic,,52,52,0,1.0,"a very round, bucket-like wicker basket in warm orange-brown. It has one thick, dark arch handle that looks like a bent tree branch (mottled dark patches), and the body is tightly woven with a small open top. Confirm when you’ve placed the round bucket with the chunky dark handle.","a very round, bucket-like wicker basket in warm orange-brown. It has one thick, dark arch handle that looks like a bent tree branch (mottled dark patches), and the body is tightly woven with a small open top. Confirm when you’ve placed the round bucket with the chunky dark handle."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,3,8,8,deterministic,,deterministic,,42,42,0,1.0,"the dark charcoal/blackish oval basket with a single smooth arch handle. The standout is a couple of pale/whitish horizontal bands near the bottom/base, contrasting with the dark weave. Confirm when you spot the dark one with the light bands.","the dark charcoal/blackish oval basket with a single smooth arch handle. The standout is a couple of pale/whitish horizontal bands near the bottom/base, contrasting with the dark weave. Confirm when you spot the dark one with the light bands."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,3,9,9,deterministic,,deterministic,,72,72,0,1.0,"a low, boxy rectangular basket in golden honey-brown. It has one thick twisted-rope style arch handle, and the sides look like a chunky checkerboard weave (more blocky than fine). Confirm when you’ve got the rectangular one with the rope handle. has straight, boxy rectangular sides (not a round bowl). It’s the low honey-brown rectangle with the thick twisted-rope arch handle and a chunky checker/block weave.","a low, boxy rectangular basket in golden honey-brown. It has one thick twisted-rope style arch handle, and the sides look like a chunky checkerboard weave (more blocky than fine). Confirm when you’ve got the rectangular one with the rope handle. has straight, boxy rectangular sides (not a round bowl). It’s the low honey-brown rectangle with the thick twisted-rope arch handle and a chunky checker/block weave."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,4,1,1,deterministic,,deterministic,,51,51,0,1.0,"a very shallow, wide oval wicker basket like a flat tray, with one tall arched handle. It’s light tan but has a darker reddish-brown band around the outer side, and the inside base shows a tight spiral weave. has that darker reddish-brown band around the outside rim/side.","a very shallow, wide oval wicker basket like a flat tray, with one tall arched handle. It’s light tan but has a darker reddish-brown band around the outer side, and the inside base shows a tight spiral weave. has that darker reddish-brown band around the outside rim/side."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,4,10,10,deterministic,,deterministic,,43,43,0,1.0,"an oval, boat-shaped wicker basket with a tall pale handle. The standout detail is the handle attachments—both sides have reddish/burgundy wrapped joints where the handle meets the rim. The weave is light tan with some white/cream accents; no lid.","an oval, boat-shaped wicker basket with a tall pale handle. The standout detail is the handle attachments—both sides have reddish/burgundy wrapped joints where the handle meets the rim. The weave is light tan with some white/cream accents; no lid."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,4,11,11,deterministic,,deterministic,,65,65,0,1.0,"a plain, uniform light reddish-brown wicker basket with a single arched handle that matches the body (not dark). Shape is a rounded rectangle/oval, open top, no lid, and no contrasting color bands or special handle wraps. the simple rounded-oval/rounded-rectangle tote: uniform light reddish-brown wicker with a matching arched handle, open top, no lid, and no two-tone/contrast details.","a plain, uniform light reddish-brown wicker basket with a single arched handle that matches the body (not dark). Shape is a rounded rectangle/oval, open top, no lid, and no contrasting color bands or special handle wraps. the simple rounded-oval/rounded-rectangle tote: uniform light reddish-brown wicker with a matching arched handle, open top, no lid, and no two-tone/contrast details."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,4,12,12,deterministic,,deterministic,,43,43,0,1.0,a boxy rectangular basket with an open top and a thick dark (almost black/gray) arched handle that looks twisted/doubled. The body is two-tone—mostly dark gray/black weave with a lighter tan strip/band along the bottom edge. No lid.,a boxy rectangular basket with an open top and a thick dark (almost black/gray) arched handle that looks twisted/doubled. The body is two-tone—mostly dark gray/black weave with a lighter tan strip/band along the bottom edge. No lid.
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,4,2,2,deterministic,,deterministic,,42,42,0,1.0,"a small rectangular/oblong wicker basket with straight sides and a very tall oval loop handle. The weave is chunky and grid-like (blocky squares), and it’s a warm golden-brown overall. yes—shallow rectangular, thick woven loop handle, no lid.","a small rectangular/oblong wicker basket with straight sides and a very tall oval loop handle. The weave is chunky and grid-like (blocky squares), and it’s a warm golden-brown overall. yes—shallow rectangular, thick woven loop handle, no lid."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,4,3,3,deterministic,,deterministic,,36,36,0,1.0,"the lidded novelty basket shaped like a duck/bird in side profile—rounded body with a protruding head and small beak, and a noticeable blue eye; there’s a handle integrated on top of its back.","the lidded novelty basket shaped like a duck/bird in side profile—rounded body with a protruding head and small beak, and a noticeable blue eye; there’s a handle integrated on top of its back."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,4,4,4,deterministic,,deterministic,,64,64,0,1.0,"a rectangular, boxy basket with a tall arched handle. The body is distinctly dark green/teal weaving, with tan/orange trim along the top and bottom edges, and a braided/twisted tan band right under the rim. has one single, centered tall arch handle. The key is that dark green/teal body with tan/orange trim and the braided band right under the rim.","a rectangular, boxy basket with a tall arched handle. The body is distinctly dark green/teal weaving, with tan/orange trim along the top and bottom edges, and a braided/twisted tan band right under the rim. has one single, centered tall arch handle. The key is that dark green/teal body with tan/orange trim and the braided band right under the rim."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,4,5,5,deterministic,,deterministic,,40,40,0,1.0,"a deep round tub/bucket basket, open top, natural tan. It has TWO small loop/ear handles on opposite sides right at the rim (not a tall arch handle), and the side weave makes a diagonal/chevron pattern. No lid.","a deep round tub/bucket basket, open top, natural tan. It has TWO small loop/ear handles on opposite sides right at the rim (not a tall arch handle), and the side weave makes a diagonal/chevron pattern. No lid."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,4,6,6,deterministic,,deterministic,,78,78,0,1.0,"a round, pail-like wicker basket with one thick arched handle that’s very dark brown/black. The top has a noticeable rigid wooden band/ring around the rim, making it look sturdier than the others. No lid. has a smooth, rigid wooden band/hoop around the rim (not woven), with a very dark thick arched handle. The woven body is medium-brown and it’s a round pail shape. Go ahead and place that as position 6.","a round, pail-like wicker basket with one thick arched handle that’s very dark brown/black. The top has a noticeable rigid wooden band/ring around the rim, making it look sturdier than the others. No lid. has a smooth, rigid wooden band/hoop around the rim (not woven), with a very dark thick arched handle. The woven body is medium-brown and it’s a round pail shape. Go ahead and place that as position 6."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,4,7,7,deterministic,,deterministic,,44,44,0,1.0,"a tall cylindrical hamper/bin basket (much taller than it is wide), open top. It has two small loop handles near the rim on opposite sides, and the weave looks more vertical/slatted with darker brown bands—no big arch handle and no lid.","a tall cylindrical hamper/bin basket (much taller than it is wide), open top. It has two small loop handles near the rim on opposite sides, and the weave looks more vertical/slatted with darker brown bands—no big arch handle and no lid."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,4,8,8,deterministic,,deterministic,,47,47,0,1.0,"a rectangular picnic-style wicker basket with a single tall central handle, plus a diagonal support/brace running from the handle down to one side. It also has a fitted lid/top flap (looks like a hinged cover) on one side—golden straw color, tight ribbed weave.","a rectangular picnic-style wicker basket with a single tall central handle, plus a diagonal support/brace running from the handle down to one side. It also has a fitted lid/top flap (looks like a hinged cover) on one side—golden straw color, tight ribbed weave."
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,4,9,9,deterministic,,deterministic,,42,42,0,1.0,"a novelty animal basket shaped like a CAT head/body, facing forward. It’s a round tan wicker form with painted cat face (eyes/whiskers/nose) and small ears on top, and it sits on little feet. (Not the side-profile duck.)","a novelty animal basket shaped like a CAT head/body, facing forward. It’s a round tan wicker form with painted cat face (eyes/whiskers/nose) and small ears on top, and it sits on little feet. (Not the side-profile duck.)"
ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_2,1,1,1,deterministic,,deterministic,,56,56,0,1.0,"a novelty wicker basket shaped like a mouse/rodent: rounded body with a pointed snout and dark nose, two little bead eyes, and a flat strap handle running over the top/back. Let me know when you’ve found that one. the mouse/rodent with the pointed snout (not the cat-face one with little feet).","a novelty wicker basket shaped like a mouse/rodent: rounded body with a pointed snout and dark nose, two little bead eyes, and a flat strap handle running over the top/back. Let me know when you’ve found that one. the mouse/rodent with the pointed snout (not the cat-face one with little feet)."
