object_category,pair_ix,FirstRoundCardIndex,round_ix,human_extracted,llm_extracted
baskets,22,Card2,4,"red with handle, red ribbon","red one with the handle, red ribbon"
baskets,22,Card3,1,"light brown, very small, can't see bottom, you can see other side, handle, about the same size, no cover, black at bottom, with little loops","black, and um, light brown, very small, black at the bottom, and a little bit, with like little loops in it"
baskets,22,Card3,2,"black bottom, black ribbon going through, towards bottom looks striped, one handle, round","black bottom and it has like a black ribbon, it looks like it's striped, it has one handle"
baskets,22,Card3,3,"black ribbon, big loops",black ribbon
baskets,22,Card3,4,black ribbon in bottom,black ribbon in the bottom
baskets,22,Card4,1,"circulish, you could see inside, but not bottom, very big, plain old dark brown, no handles, deep inside","it's kind of big, circulish, you could see the inside of it, but not the bottom, very big, just plain old, dark brown, dark"
baskets,22,Card4,2,"very deep, round","very deep, round and very deep"
baskets,22,Card4,3,deep,the deep one
baskets,22,Card4,4,very deep,the very deep one
baskets,22,Card5,1,"small, red ribbon at top, no handles","small basket with a red ribbon on, like, at the top, but there's no handles"
baskets,22,Card5,2,"red ribbon going through, no handle","red ribbon going through, with no handle"
baskets,22,Card5,3,"red ribbon, no handle","the one with the red ribbon, no handle"
baskets,22,Card5,4,"red ribbon, no handle","no handle, just the red ribbon"
baskets,22,Card6,1,"triangular, green, designs inside, green triangles","triangular, green, designs inside"
baskets,22,Card6,2,"green triangles, green through back, designs",green triangles
baskets,22,Card6,3,green triangles,"green, triangles"
baskets,22,Card6,4,green triangles,green tar--triangles
baskets,22,Card7,1,"circulish, large, very small loops, two loops at end, like a kettle, like the thing to pull it up, cover, small thing to pick it up","circulish, kinda large, very small loops, two loops at the end, like a kettle, has a cover, has two loops, small thing to pick it up"
baskets,22,Card7,2,"kettle pick up thing, two handles on side, teeny little handles","no handle, the one with the kettle, pick up thing, two handles on the side, teeny little handles on the side"
baskets,22,Card7,3,"two little handles on side, kettle thingy on top","the one with the two little handles on the side, kettle thingy on the top"
baskets,22,Card7,4,"two handles, thing on top","the one with the two handles, with the thing on top"
baskets,22,Card8,1,"triangular, red and green, very stylish","triangular, red and green, very stylish"
baskets,22,Card8,2,"triangular, red and green stripes, coming in like a half diamond","triangular one, with the red and, uh, green stripes, kind of coming in like a half diamond"
baskets,22,Card8,3,"triangular, red, green, diamond things going into it","triangular one, with the red and the green and the diamond things going into it"
baskets,22,Card8,4,"triangular, red and green",triangular one with the red rib--red and green
baskets,22,Card9,1,"circulish, handle, squarish, cover, short","circulish, has a kind of handle, kind of squarish, has a cover, more circulish, handle is kind of rectangular, short, circular"
baskets,22,Card9,2,"smal round, handle, cover","the round one with the small round one with the handle, with the cover"
baskets,22,Card9,3,"short, with cover",short one with the cover
baskets,22,Card9,4,"short, with cover, handle","short one with the cover on it, and the handle"
baskets,22,Card10,1,"rectangular, pointed in towards end, cover, handle, looks like last one only higher, very long, different from bottom","rectangular, pointed in towards the end, has a cover, has a handle"
baskets,22,Card10,2,"rectangular, bigger length, higher, cover","triangular, rectangular one, the one which has the bigger length, has the cover on it"
baskets,22,Card10,3,"rectangular, handle, cover, tall","rectangular one with the handle, and the cover on it, the tall one"
baskets,22,Card10,4,"tall, with cover",the tall one with the cover on it
baskets,20,Card1,1,"very long, rectangular in shape, light tan, weaved, handle coming over top, right in the middle handle","very long basket, rectangular in shape, light tan, weaved, the handle coming over the top"
baskets,20,Card1,2,"rectangular large, very long, handle in middle","rectangular large, very long, the handle in the middle"
baskets,20,Card1,3,"really long, rectangular, handle in middle","really long, rectangular one with the handle in the middle"
baskets,20,Card1,4,rectangle,rectangle
baskets,20,Card2,1,"huge handle, very small, red and brown and green weaving, right in middle, can see right through handle, very tiny basket compared to the handle","huge handle, very small basket, red, and uh, brown and green weaving, tiny basket compared to the handle"
baskets,20,Card2,2,"very large handle, very small",very large handle
baskets,20,Card2,3,"small, with large handle","small, with the large handle"
baskets,20,Card2,4,"small, giant handle","small, uh, basket, giant handle"
baskets,20,Card3,1,"large, with another handle, same color, but weave is very wide, a lot of spaces, black in bottom, you can see right through, large handle, but it's not really that large in proportion to the basket, very circular, the look of the whole thing","a large basket, another handle, same color, weave is very wide, a lot of spaces in it, black in the bottom, you can see right through it, a large handle, very circular"
baskets,20,Card3,2,"very round, very open weave, something black in bottom, or just shadow","very round, very open weave, something black in the bottom, shadow of it"
baskets,20,Card3,3,"rounded, very open weave, black in bottom","rounded one, very open weave, black in the bottom"
baskets,20,Card3,4,"very open weave, black bottom","very open weave, black bottom"
baskets,20,Card4,1,"very tight weave, without handle, very large bowl, bottom looks like solid piece of bamboo, uniform tan, some spaces that look darker color, brown","very tight weave, without a handle, very large bowl, large, tight weave, all uniform tan, some spaces where that look like a darker color, a brown"
baskets,20,Card4,2,very large,very large
baskets,20,Card4,3,"very large bowl, tight weave",very large bowl
baskets,20,Card4,4,"very large bowl, tight weave",very large bowl with the tight weave
baskets,20,Card5,1,"small, wide weave, red weave through whole thing, red ribbon","small basket, with a wide weave, got a red…weave through the whole thing"
baskets,20,Card5,2,"red ribbon, striped",red ribbon
baskets,20,Card5,3,red ribbon running through,basket with the red ribbon…running through it
baskets,20,Card5,4,red ribbon,red ribbon
baskets,20,Card6,1,"tan bowl, looks like solid beading, some green on other side","tan bowl that looks very--it looks like solid beading, but it's got some green in it"
baskets,20,Card6,2,"bowl, green striping in back, in background",bowl with the green striping
baskets,20,Card6,3,green background,green background
baskets,20,Card6,4,green background,green background
baskets,20,Card7,1,"two handles on sides, lid on top, handles come through lid, tan, little knob on lid itself","has a lid on it, two handles on the sides, tan with a little--like a little knob on the lid itself"
baskets,20,Card7,2,"top, two handles sticking out, small","the one with the top, with the two handles sticking out"
baskets,20,Card7,3,"two handles, big lid",the one with two handles
baskets,20,Card7,4,"two handle, large lid",the two handle with the large lid
baskets,20,Card8,1,triangular,triangular
baskets,20,Card8,2,triangular shaped,triangular...shaped basket
baskets,20,Card8,3,triangular,triangular *basket*
baskets,20,Card8,4,triangular,triangular
baskets,20,Card9,1,"squarish handle, round lid, looks similar to old style picnic baskets, circular","squarish handle, round lid, circular"
baskets,20,Card9,2,"round, with round top, square handle","very small basket, round top, square handle"
baskets,20,Card9,3,"round, squared handle, lid","round one, squared handle"
baskets,20,Card9,4,"round, round lid, square handle","round, round lid, square handle"
baskets,20,Card10,1,"similar handle to previous, very rough looking round lid, it itself is more squared, almost a little rectangular, tapers towards bottom","rough looking round lid, more squared, almost a little rectangular, tapers towards the bottom"
baskets,20,Card10,2,"tapered, looks almost like old, rough handbag, thin handle up at top, very rough looking lid","tapered basket that looks almost like a old, rough handbag, thin handle up at the top, very rough looking lid"
baskets,20,Card10,3,"tapered, rough top, lid","tapered basket with the rough, uh top on it, rough lid"
baskets,20,Card10,4,"tapered, rough lid","tapered, uh, with the rough lid"
baskets,23,Card1,1,"oblong, rectangular, one handle, laundry basket","oblong, rectangular basket, has one handle, looks like a laundry basket"
baskets,23,Card1,2,"number one from before, looks like laundry basket",long--looks like a laundry basket
baskets,23,Card1,3,"laundry basket, one handle","the laundry basket one, with one handle"
baskets,23,Card1,4,laundry,"the laundry one, has a handle, half of it's square, handle, top is circular"
baskets,23,Card2,1,"smallest out of all of them, handle, looks like it's cut in half, reddish color, reddish brown, little red ribbons interwoven","smallest out of all of them with the handle, reddish color, interwoven in it"
baskets,23,Card2,2,"long handle, red interwoven","long handle, red interwoven in it"
baskets,23,Card2,3,"oval handle, cut in half, red interwoven","oval handle, cut in half somehow, red interwoven into it"
baskets,23,Card2,4,more than one red ribbon weaved through,more than one red ribbon weaved through it
baskets,23,Card3,1,"bigger weave than all the other baskets, circle, visible holes","bigger weave than all the other baskets, looks sort of like a circle, visible holes"
baskets,23,Card3,2,"huge spaces in middle, circle, handle","huge spaces in the middle, looks like a circle"
baskets,23,Card3,3,"with gaps, circle, no top, really big weave, biggest holes of all the weaves, circular handle","gaps in it, looks like a circle, with a handle"
baskets,23,Card3,4,"circular, big gaps in weave",circular one with the big…gaps in the weave
baskets,23,Card4,1,"tightest woven, no handle, looks like beehive","the tightest woven one, has no handle, looks like a beehive"
baskets,23,Card4,2,"really tight weave, looks like beehive, no top","a really tight weave, looks like the beehive, has no top"
baskets,23,Card4,3,"beehive, no top, half a circle","the beehive one, no top"
baskets,23,Card4,4,"beehive, no handles, no cover","the beehive, no handles, no cover"
baskets,23,Card5,1,"small thing, red interwoven, no handles",small thing and it has like a red interwoven with it
baskets,23,Card5,2,"one red ribbon laced through, no handle",the one with the red ribbon laced through it
baskets,23,Card5,3,"red strip interwoven, no handle",that basket--it has that red strip interwoven in it
baskets,23,Card5,4,"one red ribbon interlaced, no handle",that one red…ribbon interlaced in it
baskets,23,Card6,1,"no handle, zig-zag pattern in space, green","it has no handle, and it has a sort of zig-zag pattern in the space"
baskets,23,Card6,2,"zig-zag pattern, green in background, looks like bowl",the one with the zig-zag pattern with the green in the background
baskets,23,Card6,3,"zig-zag pattern, green in background",the zig-zag...pattern? And it has green in the background
baskets,23,Card6,4,"zig-zag pattern, green",the one with the zig-zag pattern and the green
baskets,23,Card7,1,"two handles, top covering it, orangish color","two handles, orangish color"
baskets,23,Card7,2,"with top, looks like bowl, two handles on side","the one with the top, looks like a bowl, with two handles on the side"
baskets,23,Card7,3,"cover, looks like basket you take snake out of","it's got a cover, looks sort of like a basket you take a snake out of"
baskets,23,Card7,4,looks like a snake could come out of it,looks like a snake could come out of it
baskets,23,Card8,1,triangular,triangular
baskets,23,Card8,2,triangular,the triangular basket
baskets,23,Card8,3,triangular,the triangular one
baskets,23,Card8,4,triangle,the triangle one
baskets,23,Card9,1,handle looks like half a square,the handle looks sort of s--like half of a square
baskets,23,Card9,2,"sqaurish handle almost, with cover","a squarish handle almost, with a cover"
baskets,23,Card9,3,"square handle, with cover, wide, weave like little rectangles, like a barrel, when you cut a section out of it, top looks like x's, forming a circle, from side view looks like rectangles laying on top of each other, more in the brown color, stripes, on the edge of the top, circular things, like you wrap cord around edge, looks like they just laid rectangles, Jenga blocks","just like a square handle with a cover, sort of wide, and the weave in it looks like little rectangles"
baskets,23,Card9,4,"the one we were having trouble with last time, side looks like Jenga blocks put together, looks like number four, except more squarish, looks flat, ""cut an inch off a soda can, put a top on it and a handle and you have that"", half of it is square the handle, top is circular","it looks flat, you know like a soda can, how the bottom looks? Like, cut an inch off a soda can, put a top on it and a handle"
baskets,23,Card10,1,"bottom looks like half a hexagon, handle like number nine",bottom looks like half of a…hexagon
baskets,23,Card10,2,"number ten from before, hexagon bottom",hexagon bottom
baskets,23,Card10,3,"bottom is hexagon, cover",bottom is a hexagon
baskets,23,Card10,4,"hexagon bottom, cover, handle","hexagon bottom, has a cover and a handle"
baskets,37,Card1,1,"long, not circular, rectangle, you can see bottom of it, handle, makes a cone, lid","long basket, wide, not circular, rectangle, you can see the bottom of it, got a handle on it"
baskets,37,Card1,2,"long, bar handle, no lid","long one with the--like a bar handle, with no lid"
baskets,37,Card1,3,"long, handle, no lid",long one with the handle and no lid
baskets,37,Card1,4,long open with bar handle,long open one with the bar handle
baskets,37,Card2,1,"little, with big handle, small, big loop","a little basket with a big handle, a big loop"
baskets,37,Card2,2,"small, with big handle, big loop","a small basket with a big handle, a big loop"
baskets,37,Card2,3,little with big loop,the little one with the big loop
baskets,37,Card2,4,little with big loop,the little basket with the big loop
baskets,37,Card3,1,"medium, handle, wicker's thick on it, light brown, big holes","probably medium, got a handle, the wicker's thick on it, like light brown, got like big holes in it"
baskets,37,Card3,2,"wickers have big holes, wicker's real thick braided, handle","the wicker's have big holes in them, the wicker's like real thick braided, has a handle"
baskets,37,Card3,3,"thick braid wicker with holes, bar handle","thick braid wicker, with the holes in it, and a handle, like a bar handle"
baskets,37,Card3,4,"thick braided with holes, handle","the thick braided one with the holes in it, and the handle"
baskets,37,Card4,1,"round, no lid, no holes in wicker, wide","round one, no lid, no holes in the wicker"
baskets,37,Card4,2,"big round, with no lid, no handles","big round one with no lid, no handles"
baskets,37,Card4,3,"big round with no lid, no handles","big round one, no lid, no handles"
baskets,37,Card4,4,"big round with no lid, no handles","big round one with no lid, no handles"
baskets,37,Card5,1,"no handle, holes in wicker, red loop","kinda like three, but with no handle, it's got holes in the wicker, a red loop"
baskets,37,Card5,2,"round, with no lid, red ribbon going through","a round one with no lid, it's got a red ribbon going through it"
baskets,37,Card5,3,red loop going through,the basket with the red loop going through it
baskets,37,Card5,4,red ribbon going through,the one with the red ribbon going through it
baskets,37,Card6,1,"some weird design in middle of it, two little handles, with no lid","some kinda weird design in the middle of it, two little handles, no lid"
baskets,37,Card6,2,"circular, with no lid, weird design almost near top, doesn't have handle, brown and round","circular one with no lid, weird design around the...almost near the top, no handle, brown and round"
baskets,37,Card6,3,"big, with no lid, two little handles, weird little design runnin' through it, zigzag","big one with no lid, weird little design runnin' through it, zigzag or whatever"
baskets,37,Card6,4,"round, zigzag design going through it, little handles, little green background behind design","round one with the zigzag design going through it, little handles, little green background behind the design"
baskets,37,Card7,1,"lid, closed, no holes in wicker, little handle on top, round, two little handles","it's like closed, no holes in the wicker, it's got like a little handle on the top"
baskets,37,Card7,2,"round, with lid, handles, with little thing on top of it","it's a round one with a lid, this one's got, like, handles, and not bars, with a little thing on the top of it"
baskets,37,Card7,3,"lid, little thing at top","the basket with the lid on it, and the little like handle on the top"
baskets,37,Card7,4,"round, with funny thing on top of lid",the round one with the funny thing on the top of the lid
baskets,37,Card8,1,v-shaped with handle,a V-shaped basket
baskets,37,Card8,2,v-shaped,V-shaped
baskets,37,Card8,3,v-shaped,V-shaped one
baskets,37,Card8,4,v-shaped,V-shaped one
baskets,37,Card9,1,"lid, handle, short, one big handle going over top","it's shorter, it's got a lid, and uh... A handle, And it's short"
baskets,37,Card9,2,nine looks just like five but a smaller version,"nine looks just like five, but a smaller version"
baskets,37,Card9,3,smaller,it's the smaller one
baskets,37,Card9,4,smaller,the smaller one
baskets,37,Card10,1,"bigger, lid, handle, on big loop over it","ten looks just like nine, but bigger, one big loop over it"
baskets,37,Card10,2,"lid, bar handle, round, tall compared to other one that it looks like, bigger","it's got a lid, and it's got a bar handle, it's round, it's kinda tall compared to…the other one that it looks like, it's the bigger of the two"
baskets,37,Card10,3,bigger,this one's the bigger one
baskets,37,Card10,4,bigger,it's the bigger one
baskets,21,Card1,1,"long, rectangle, longest one in the picture, square in shape, one handle in middle","long basket, looks like a rectangle, longest one in the picture, square in shape, rectangular in shape"
baskets,21,Card1,2,"""the first one we had"", long, with handle",long one with the handle
baskets,21,Card1,3,"rectangular, open, one handle","rectangular, and open with one handle on it"
baskets,21,Card1,4,"really long, open, looks rectangular, one handle in middle","really long basket that's open, looks rectangular, with one handle in the middle"
baskets,21,Card2,1,"very small, pyramidal shape, really big, circular looking handle, longest base from basket to handle","very big handle on it, very small basket in a pyramidal shape, big, circular looking handle"
baskets,21,Card2,2,"red lining, really big circular handle, one handle only","red lining in it, really big circular handle"
baskets,21,Card2,3,"really big handle, red stitching along it","really big handle, red stitching along it too"
baskets,21,Card2,4,"really long, big handle, round, red weaving","really long hand--uh, big handle on it, round one, with the red, uh..., weaving"
baskets,21,Card3,1,"criss-crossing weaves, most open space in between each, circular handle","criss-crossing weaves, probably the one with the most open space in between each, circular handle"
baskets,21,Card3,2,"really wide cross-stitched, round handle","cross-stitching that's really wide cross-stitched, round handle"
baskets,21,Card3,3,"stitched, wide spaces in between","stitched with the wide, uh, spaces in between"
baskets,21,Card3,4,"wide crosses, handle, a lot of space between the crosses","wide crosses, got a handle, a lot of space between the crosses"
baskets,21,Card4,1,"one of the biggest baskets in the picture, really stitched closely, crossing is really close, oval shaped, round shaped, no handles, very circular, very big, deep","one of the biggest, uh, baskets in the picture, stitched closely, oval shaped, round shaped, no handles, very circular, very big, like eh deep"
baskets,21,Card4,2,"open, very tightly stitched, no cover, no handles","round bucket, open basket, very tightly stitched, no cover, no handles"
baskets,21,Card4,3,"open, stitched really tightly together, no handles, no cover","purse looking thing, open one that s--stitched really tightly together, no handles, no cover"
baskets,21,Card4,4,"really big, without top, close stitching","really big one, without the top and the close stitching"
baskets,21,Card5,1,red ribbon around,red ribbon around it
baskets,21,Card5,2,red ribbon,the one with the red ribbon
baskets,21,Card5,3,"red ribbon, open, no handle","the one with the red, uh, ribbon, Open basket, no handle"
baskets,21,Card5,4,"red ribbon, no top, no handle","the one with the red ribbon, No top, no handle"
baskets,21,Card6,1,green lining in back,a green lining in the back
baskets,21,Card6,2,green lining in back,the one with the green lining in the back
baskets,21,Card6,3,green lining on back,the one with the green lining on the back
baskets,21,Card6,4,green lining,the one with the green lining
baskets,21,Card7,1,"cover, two handles on side, golden","has a cover on it, with two handles on the side, golden"
baskets,21,Card7,2,"two handles on each side, top, really golden looking","the one with the handle--uh, two handles on each side, really golden looking"
baskets,21,Card7,3,"golden, top, two handles on sides","the golden basket with a top on it, two handles on sides"
baskets,21,Card7,4,"top, two handles on side, very golden looking",the one with the top and the two handles on the side
baskets,21,Card8,1,heart shape purse looking thing,heart shape purse looking thing
baskets,21,Card8,2,heart shaped,heart shaped one
baskets,21,Card8,3,heart shaped,heart shaped
baskets,21,Card8,4,heart shape,heart shape
baskets,21,Card9,1,"round bucket, cover, squarish handle","round, uh, bucket with a cover and a squarish handle"
baskets,21,Card9,2,"smaller, rounder, cover, looks like number five, one handle, square handle, round bucket","smaller, um, and it's rounder, and it's got a…cover on it, it has one handle on it, square handle"
