extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,session_id,trace_file,round,object_num,basket_id,referring_expression,previous_referring_expression,re_words,relative_lexical_overlap,jaccard_lexical_overlap
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,11,11,"a round, open-top tub/bucket basket with TWO built-in side handles that stick up like little ears; The weave is a diagonal/chevron pattern; it’s a medium-to-dark brown overall (no single top arch handle)",,39,1.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,1,12,12,a compact light-brown wicker basket with ONE thick arched handle; the rim—it’s scalloped/wavy with a dip in the middle (front/back); giving the opening a curved ‘smile’ shape rather than straight,,35,1.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,1,1,"a light tan wicker picnic-style basket with a tall central upright handle, and a matching lid that’s hinged/partly flipped open; looks like a lidded hamper rather than an open basket; lid is clearly propped open/ajar (not closed)",the light tan wicker basket shaped like a duck/bird; a rounded body with a pointed beak sticking out to the right; a small dark eye; a flat strap/handle along the top,41,0.2682926829268293,0.1746031746031746
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,2,2,"a tall, straight-sided cylindrical wicker basket (like a brown bucket) with an open top and small loop handles near the rim (one on the right); The upper band has more open vertical gaps/slats compared to the tighter weave below; the tall cylinder with the small loop handles near the rim (not the shorter wide tub)","a deep, rounded bucket-shaped wicker basket with one tall arch handle; The handle is thick and very dark brown (almost black) with lighter worn spots; the basket body is darker overall with a lighter band right near the rim; the deep bulbous/tight-weave bucket, with that very dark thick handle and a clear pale strip/band right under the rim",57,0.38596491228070173,0.2268041237113402
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,3,3,"a deep, round bowl-shaped wicker basket with a single thick dark-brown arched handle over the top; the body is lighter tan with a darker band around the rim; handle is very dark (almost black) and thicker than most",a light honey-tan rectangular picnic basket with a single upright handle in the middle (like a divider); it has a flat lid that’s flipped open/up on the RIGHT side; you can see the dark interior; the picnic-style rectangular wicker basket with the single upright center handle/divider; the lid is open/flipped up on the RIGHT side (dark interior visible); Not the flat trunk with metal rails,40,0.425,0.18085106382978725
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,4,4,a small shallow golden-tan basket with a HUGE high arch handle made of twisted rope-like strands; the body is low and rectangular/oval with a chunky checkerboard weave; handle is thick and twisted like rope (not smooth cane),an elongated oval wicker basket with one arched handle; The body is mostly pale/whitish wicker with a tan rim; the handle has small colored wrap accents (reddish/purple bands) near where it meets the sides; the mostly pale/whitewashed elongated oval with a tan rim; the handle has those small reddish/purple wrap accents where it attaches; Not the one with a thick dark band around the middle,40,0.4,0.17204301075268819
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,5,5,a squat oval basket with a dark charcoal/gray woven body and a lighter band at the very bottom; it has one thick gray arch handle with a darker brown strip running along the top of the handle; body is predominantly dark charcoal/black; the lighter/whitish part is basically just a band at the very bottom (not greenish overall); handle is gray with a darker brown strip along the top,"a low, shallow rectangular wicker basket with one big arched handle that looks like a thick twisted rope; The body is warm medium-brown with a tight checkerboard weave (darker vertical stakes); it’s more tray-like than deep",71,0.2112676056338028,0.15789473684210525
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,6,6,"the animal-shaped wicker basket: a golden honey-brown oval body with a duck/goose-like head sticking out on one end (side profile), including a small colored eye detail; It’s lidded and looks like a woven bird rather than a normal basket; the elongated duck/goose side-profile with the head sticking out; NOT the round cat-face one","a round, lidded wicker basket shaped like a cat head; two little ears on top; a painted face (eyes, nose, whiskers); It’s light tan and sits on small little feet",61,0.2786885245901639,0.22666666666666666
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,7,7,"the round, dome-like lidded basket with a cat face on top (whiskers/nose and two small colored eyes), sitting on little feet","a boxy rectangular basket with one wide arched handle; the two-tone body—greenish/teal vertical weaving—topped with a thick warm-brown braided band around the rim; the boxy rectangular one with a distinctly green/teal woven body and a thick warm-brown braided band around the rim, with a broad arched handle",23,0.2608695652173913,0.08450704225352113
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,8,8,"a very shallow, wide round tray-basket (almost like a flat plate) with a clear spiral/coil weave pattern in the base; It’s pale straw-colored with a slightly darker rim, and has one thin light arched handle attached on opposite sides; the flat pale tray with the spiral base (not the deeper orange round one)","a short, squat oval basket with one arched handle; It’s mostly dark gray/blackish wicker; has noticeable pale/whitish horizontal bands/stripes wrapping around the body near the middle and bottom; a dark (almost black/charcoal) handle and body, with two lighter whitish horizontal bands: one around the middle and another closer to the bottom",57,0.3333333333333333,0.20212765957446807
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,9,9,a boxy rectangular basket with a single brown arch handle; the body is dark green/teal with tan/orange trim along the top rim and bottom edge,"a tall, straight-sided cylindrical wicker basket (like a small hamper); It has TWO small loop handles right near the rim; the weave looks like vertical slats with some open rectangular gaps near the top",27,0.3333333333333333,0.16981132075471697
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,10,10,a chunky woven bucket: a tall-ish cylindrical brown basket with an open top and TWO small loop handles on the sides near the rim (no big arch handle); The weave looks thick and rugged; the handles are two small upright loop handles right at the rim (not big cutout grips),"a very shallow round tray/bowl with a single handle that comes up from ONE side (off-center, like a half-arch); The base has a clear spiral/coil pattern with alternating light and slightly darker tan rings",51,0.13725490196078433,0.08536585365853659
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,11,11,"a small oval/boat-shaped light straw basket with one arch handle; it has a noticeable bluish-gray band around the middle of the body, and the handle joints have colored wraps/straps (reddish/purple) where the handle meets the sides","a round, open-top tub/bucket basket with TWO built-in side handles that stick up like little ears; The weave is a diagonal/chevron pattern; it’s a medium-to-dark brown overall (no single top arch handle)",41,0.1951219512195122,0.1111111111111111
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,2,12,12,"a light-brown rectangular/boxy basket with rounded corners and a single arch handle; The sides are quite open/see-through (lattice weave), and the handle comes up from thicker side uprights; overall pretty uniform tan with no colored bands",a compact light-brown wicker basket with ONE thick arched handle; the rim—it’s scalloped/wavy with a dip in the middle (front/back); giving the opening a curved ‘smile’ shape rather than straight,40,0.25,0.15384615384615385
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,1,1,"a rectangular picnic-style basket with one very tall arch handle; The sides are a dark green/teal weave with vertical tan stakes showing; it has a natural tan rim and tan base; two-tone: dark sides, light top/bottom; the only one with that dark green/teal weave on the sides; rectangular with a tall single arch handle and tan rim/base; strong two-tone","a light tan wicker picnic-style basket with a tall central upright handle, and a matching lid that’s hinged/partly flipped open; looks like a lidded hamper rather than an open basket; lid is clearly propped open/ajar (not closed)",66,0.21212121212121213,0.15053763440860216
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,2,2,a shallow oval wicker basket in very light tan/cream; almost whitewashed; one arch handle; there are white wrapped sections near the top; small reddish-brown connector bits/straps where the handle attaches on both sides,"a tall, straight-sided cylindrical wicker basket (like a brown bucket) with an open top and small loop handles near the rim (one on the right); The upper band has more open vertical gaps/slats compared to the tighter weave below; the tall cylinder with the small loop handles near the rim (not the shorter wide tub)",36,0.3055555555555556,0.13414634146341464
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,3,3,"the round lidded novelty basket shaped like a cat head; you see a cat face on top; whiskers, little nose, small bluish eyes; a light tan wicker sphere sitting on tiny feet; the front-facing cat-head lid; you see the face straight on with whiskers and bluish eyes","a deep, round bowl-shaped wicker basket with a single thick dark-brown arched handle over the top; the body is lighter tan with a darker band around the rim; handle is very dark (almost black) and thicker than most",49,0.2857142857142857,0.18666666666666668
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,4,4,the woven novelty basket shaped like a side-profile animal; mouse/rat; an oval body with a pointed snout on the right; a small dark eye near the snout; a single flat strap-like handle on top; not an arch; Light tan wicker overall; the side-profile animal with the snout pointing right,a small shallow golden-tan basket with a HUGE high arch handle made of twisted rope-like strands; the body is low and rectangular/oval with a chunky checkerboard weave; handle is thick and twisted like rope (not smooth cane),53,0.3018867924528302,0.2077922077922078
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,5,5,"a medium-brown, tall oval basket with an open top and one smooth arch handle; The sides have a very regular vertical slat-like weave; looks like thin upright ribs; more upright/deeper than the shallow pale oval basket; the handle is the same medium-brown as the body; the opening is an oval that reads a bit squared/rectangular; not perfectly round; very uniform vertical ribbed/slat weave on the sides",a squat oval basket with a dark charcoal/gray woven body and a lighter band at the very bottom; it has one thick gray arch handle with a darker brown strip running along the top of the handle; body is predominantly dark charcoal/black; the lighter/whitish part is basically just a band at the very bottom (not greenish overall); handle is gray with a darker brown strip along the top,72,0.3611111111111111,0.2222222222222222
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,6,6,"a tall cylindrical/barrel basket, darker brown; with TWO small loop handles near the top rim; one on each side; No big arch handle—just the little side loops; The weave looks vertically banded/striped","the animal-shaped wicker basket: a golden honey-brown oval body with a duck/goose-like head sticking out on one end (side profile), including a small colored eye detail; It’s lidded and looks like a woven bird rather than a normal basket; the elongated duck/goose side-profile with the head sticking out; NOT the round cat-face one",35,0.37142857142857144,0.1566265060240964
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,7,7,"a very round, bucket-like wicker basket in warm orange-brown; one thick, dark arch handle that looks like a bent tree branch; mottled dark patches; the body is tightly woven with a small open top; the round bucket with the chunky dark handle","the round, dome-like lidded basket with a cat face on top (whiskers/nose and two small colored eyes), sitting on little feet",44,0.18181818181818182,0.13559322033898305
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,8,8,the dark charcoal/blackish oval basket with a single smooth arch handle; a couple of pale/whitish horizontal bands near the bottom/base; contrasting with the dark weave; the dark one with the light bands,"a very shallow, wide round tray-basket (almost like a flat plate) with a clear spiral/coil weave pattern in the base; It’s pale straw-colored with a slightly darker rim, and has one thin light arched handle attached on opposite sides; the flat pale tray with the spiral base (not the deeper orange round one)",35,0.45714285714285713,0.21052631578947367
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,9,9,"a low, boxy rectangular basket in golden honey-brown; one thick twisted-rope style arch handle; the sides look like a chunky checkerboard weave; more blocky than fine; straight, boxy rectangular sides; not a round bowl; the low honey-brown rectangle with the thick twisted-rope arch handle and a chunky checker/block weave",a boxy rectangular basket with a single brown arch handle; the body is dark green/teal with tan/orange trim along the top rim and bottom edge,54,0.2222222222222222,0.17391304347826086
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,10,10,"a big deep bucket/cylinder basket with an open top and TWO short side handles; little ear-shaped grips on opposite sides, not an arch; The weave is chunky and looks diagonally patterned/chevron-like, overall medium brown; the big deep bucket with TWO short ear-like side handles and a chunky diagonal/chevron weave; not the vertically striped barrel with small loop handles",a chunky woven bucket: a tall-ish cylindrical brown basket with an open top and TWO small loop handles on the sides near the rim (no big arch handle); The weave looks thick and rugged; the handles are two small upright loop handles right at the rim (not big cutout grips),64,0.484375,0.36904761904761907
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,11,11,"a very shallow, wide round tray-like basket with ONE thin arch handle; The base shows a clear spiral/concentric-ring pattern; there’s a darker reddish-brown band around the rim compared to the lighter tan center; the flat round spiral one; extremely shallow; basically a flat serving-tray basket with one thin arch handle and a very visible spiral/concentric base pattern plus a darker reddish-brown rim band; Not the deeper round bucket with a tall handle","a small oval/boat-shaped light straw basket with one arch handle; it has a noticeable bluish-gray band around the middle of the body, and the handle joints have colored wraps/straps (reddish/purple) where the handle meets the sides",80,0.225,0.17475728155339806
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,3,12,12,a rectangular picnic-style basket with TWO lid flaps on top; they meet in the middle; one tall central wicker handle; No metal frame—just wicker; golden-tan with a tight vertical weave,"a light-brown rectangular/boxy basket with rounded corners and a single arch handle; The sides are quite open/see-through (lattice weave), and the handle comes up from thicker side uprights; overall pretty uniform tan with no colored bands",33,0.3333333333333333,0.1774193548387097
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,4,1,1,"a very shallow, wide oval wicker basket like a flat tray, with one tall arched handle; light tan but has a darker reddish-brown band around the outer side; the inside base shows a tight spiral weave; has that darker reddish-brown band around the outside rim/side","a rectangular picnic-style basket with one very tall arch handle; The sides are a dark green/teal weave with vertical tan stakes showing; it has a natural tan rim and tan base; two-tone: dark sides, light top/bottom; the only one with that dark green/teal weave on the sides; rectangular with a tall single arch handle and tan rim/base; strong two-tone",48,0.4166666666666667,0.2127659574468085
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,4,2,2,"a small rectangular/oblong wicker basket with straight sides and a very tall oval loop handle; The weave is chunky and grid-like (blocky squares); it’s a warm golden-brown overall; shallow rectangular, thick woven loop handle, no lid",a shallow oval wicker basket in very light tan/cream; almost whitewashed; one arch handle; there are white wrapped sections near the top; small reddish-brown connector bits/straps where the handle attaches on both sides,40,0.3,0.1875
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,4,3,3,the lidded novelty basket shaped like a duck/bird in side profile; rounded body with a protruding head and small beak; a noticeable blue eye; there’s a handle integrated on top of its back,"the round lidded novelty basket shaped like a cat head; you see a cat face on top; whiskers, little nose, small bluish eyes; a light tan wicker sphere sitting on tiny feet; the front-facing cat-head lid; you see the face straight on with whiskers and bluish eyes",35,0.42857142857142855,0.21739130434782608
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,4,4,4,"a rectangular, boxy basket with a tall arched handle; The body is distinctly dark green/teal weaving, with tan/orange trim along the top and bottom edges; a braided/twisted tan band right under the rim; one single, centered tall arch handle; dark green/teal body with tan/orange trim and the braided band right under the rim",the woven novelty basket shaped like a side-profile animal; mouse/rat; an oval body with a pointed snout on the right; a small dark eye near the snout; a single flat strap-like handle on top; not an arch; Light tan wicker overall; the side-profile animal with the snout pointing right,58,0.3448275862068966,0.21978021978021978
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,4,5,5,"a deep round tub/bucket basket, open top, natural tan; TWO small loop/ear handles on opposite sides right at the rim (not a tall arch handle); the side weave makes a diagonal/chevron pattern; No lid","a medium-brown, tall oval basket with an open top and one smooth arch handle; The sides have a very regular vertical slat-like weave; looks like thin upright ribs; more upright/deeper than the shallow pale oval basket; the handle is the same medium-brown as the body; the opening is an oval that reads a bit squared/rectangular; not perfectly round; very uniform vertical ribbed/slat weave on the sides",37,0.43243243243243246,0.17204301075268819
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,4,6,6,"a round, pail-like wicker basket with one thick arched handle that’s very dark brown/black; The top has a noticeable rigid wooden band/ring around the rim; making it look sturdier than the others; No lid; a smooth, rigid wooden band/hoop around the rim (not woven); a very dark thick arched handle; The woven body is medium-brown; it’s a round pail shape","a tall cylindrical/barrel basket, darker brown; with TWO small loop handles near the top rim; one on each side; No big arch handle—just the little side loops; The weave looks vertically banded/striped",67,0.1791044776119403,0.13333333333333333
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,4,7,7,"a tall cylindrical hamper/bin basket (much taller than it is wide), open top; two small loop handles near the rim on opposite sides; the weave looks more vertical/slatted with darker brown bands; no big arch handle and no lid","a very round, bucket-like wicker basket in warm orange-brown; one thick, dark arch handle that looks like a bent tree branch; mottled dark patches; the body is tightly woven with a small open top; the round bucket with the chunky dark handle",41,0.3170731707317073,0.18055555555555555
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,4,8,8,a rectangular picnic-style wicker basket with a single tall central handle; a diagonal support/brace running from the handle down to one side; a fitted lid/top flap (looks like a hinged cover) on one side; golden straw color; tight ribbed weave,the dark charcoal/blackish oval basket with a single smooth arch handle; a couple of pale/whitish horizontal bands near the bottom/base; contrasting with the dark weave; the dark one with the light bands,43,0.20930232558139536,0.13043478260869565
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,4,9,9,"a novelty animal basket shaped like a CAT head/body, facing forward; a round tan wicker form with painted cat face (eyes/whiskers/nose) and small ears on top; it sits on little feet; Not the side-profile duck","a low, boxy rectangular basket in golden honey-brown; one thick twisted-rope style arch handle; the sides look like a chunky checkerboard weave; more blocky than fine; straight, boxy rectangular sides; not a round bowl; the low honey-brown rectangle with the thick twisted-rope arch handle and a chunky checker/block weave",39,0.2564102564102564,0.12048192771084337
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,gpt5.2-acl_123244_1,data/experiments/ACL/gpt5.2-acl/gpt5.2-acl_123244_1/gpt5.2-acl_123244_1_data.json,4,10,10,"an oval, boat-shaped wicker basket with a tall pale handle; The standout detail is the handle attachments; both sides have reddish/burgundy wrapped joints where the handle meets the rim; The weave is light tan with some white/cream accents; no lid","a big deep bucket/cylinder basket with an open top and TWO short side handles; little ear-shaped grips on opposite sides, not an arch; The weave is chunky and looks diagonally patterned/chevron-like, overall medium brown; the big deep bucket with TWO short ear-like side handles and a chunky diagonal/chevron weave; not the vertically striped barrel with small loop handles",43,0.27906976744186046,0.12631578947368421
