extractor,gpt_model,experiment,session_prefix,prompt_strategy,director_model,matcher_model,session_id,trace_file,round,object_num,basket_id,referring_expression,previous_referring_expression,re_words,relative_lexical_overlap,jaccard_lexical_overlap
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,1,images/015.png,yellow-gold rectangular picnic basket with a tall central handle; its hinged lid is flipped open—lid panel sticking up/leaning to the right; No animal face; the open-lid picnic style; lid flipped up to the right; not a closed case,a rectangular picnic-style wicker basket with a hinged lid that’s open; the lid sticks up and leans to the right; a tall central handle/strap rising from the middle; Open top visible because the lid is up; that yellow-gold rectangular picnic basket with the hinged lid flipped up and leaning to the right,42,0.7619047619047619,0.48484848484848486
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,2,images/037.png,tall straight-sided cylindrical hamper basket; open top; with two small loop handles near the rim; no big arched handle; two small loop handles opposite each other near the top rim,"a tall, straight-sided cylindrical wicker basket (like a small hamper) with TWO small loop handles near the top rim; It’s open at the top and has a more open, vertical slat/rectangular weave near the upper section; no big arched handle",31,0.7741935483870968,0.48
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,3,images/001.png,deep round bucket-shaped basket with a single thick arched handle that’s very dark/near-black; a darker band around the top rim,"an open, deep round bucket-shaped wicker basket with a single thick arched handle that’s very dark (almost black); The body has a tight small weave and a darker band around the top rim; overall dark brown, with that very dark almost-black thick handle and a dark band right around the rim; darker than the honey/light ones",24,0.9583333333333334,0.3770491803278688
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,4,images/022.png,small squat rectangular open basket with a very thick twisted/rope-like arched handle; chunky braid; Body is warm orange-brown with a blocky/checkered weave; no lid,"a small, squat rectangular open basket with a very thick twisted/rope-like arched handle; The weave looks blocky/checkered in warm orange-brown tones; no lid; the squat rectangular open basket with the very thick twisted/rope-like arched handle; round braided look; a tight blocky/checker weave in warm orange-brown",28,0.8571428571428571,0.42105263157894735
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,5,images/040.png,mostly dark gray/black oval basket with one arched handle; a noticeable pale/whitish band around the very bottom/base; dark gray/black handled oval basket; the pale/whitish band clearly wraps around the entire bottom/base,"an open oval basket that’s mostly dark gray/blackish wicker with a single arched handle; it has a lighter whitish weave accent around the lower edge/base, making a pale band near the bottom; the mostly dark gray/black open basket with one handle and a clear pale/whitish band around the bottom edge; not the deep dark-brown bucket of basket 2, and not the warm honey-colored ones",37,0.7567567567567568,0.35
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,6,images/076.png,duck/bird-shaped wicker basket in side profile; rounded body with the head/beak sticking out to the right and a little dark eye; a flat strap-style handle on top; not a round lidded face; the duck profile with the strap handle,the light tan wicker basket shaped like a duck/bird; rounded body with a head sticking out on the right and a little dark eye; a flat oval handle/strap on top; the duck/bird in side profile with the head/beak sticking out to the right and a flat strap handle on top; not the round cat-face one,43,0.9302325581395349,0.6349206349206349
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,7,images/033.png,round light-tan cat-face lidded basket; has two little ears on top; a face (eyes/whiskers/nose) on the lid; sits on small feet; no big handle,"the round, lidded light-tan basket that looks like a cat’s face; two little ears on top and a face drawn/stitched on (eyes, whiskers, small nose); No big handle; more like a round animal head on little feet; the pale round cat-face on little feet; not the duck",28,0.8928571428571429,0.46296296296296297
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,8,images/019.png,"very shallow, wide round tray-like basket with a single arched handle; a really obvious spiral/coiled pattern on the base","a very shallow, wide round basket; almost like a flat tray; with a single arched handle over it; The bottom has a really obvious spiral/coiled weave pattern; the flat, shallow round tray with one arch handle and a very clear spiral/coiled pattern on the base; much flatter than the deeper handled baskets",21,1.0,0.3888888888888889
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,9,images/012.png,rectangular open basket with a brown/orange handle and frame; the body has distinct green/teal vertical striped panels; the top rim edge looks scalloped/zigzag,a rectangular open basket with an arched handle and a distinctive two-tone look; orange-brown frame/handle but the body has greenish vertical slats/stripes; The top rim edge is scalloped/zigzag; the brown handle/frame with the green/teal vertically striped body,26,0.8846153846153846,0.48936170212765956
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,10,images/065.png,large deep round tub/bucket basket with two small side handles; no arched handle; open top; brown diagonal/herringbone weave; a slightly darker band near the bottom; little ear-like side handles,the large deep round tub/bucket basket with two small side handles; like little ears; an open top; no arched handle and no lid; The weave is brown with a diagonal/herringbone look and a slightly darker band near the bottom,32,0.90625,0.6590909090909091
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,11,images/009.png,shallow oval/boat-shaped light-tan basket with ONE arched handle; the handle has a pale/whitish wrap at the top; it connects via reddish-brown leather-like straps on both sides,a small shallow oval/boat-shaped basket with one arched handle; the handle connects via reddish-brown leather-like straps on the sides; the weave is light tan with a slightly darker band around the middle; the shallow oval/boat-shaped one with the arched handle that has a lighter/whitish section at the top; the handle is attached on both sides with reddish-brown strap pieces,32,0.90625,0.4142857142857143
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,2,12,images/017.png,open light honey-brown basket with one arched handle; shaped like a rounded square; the key giveaway is a clear pinched-in V-notch/pour-spout on the front rim; No lid and no big color bands,"an open, light honey-brown basket with one arched handle; shaped kind of like a rounded square; the rim has a little pinched-in notch/spout at the front; like a small pour spout; No lid, and no strong two-tone bands",37,0.7837837837837838,0.58
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,1,images/012.png,the rectangular open basket with a brown/orange arched handle and frame; the body has distinct green/teal vertical striped panels; the top rim edge is scalloped/zigzag,rectangular open basket with a brown/orange handle and frame; the body has distinct green/teal vertical striped panels; the top rim edge looks scalloped/zigzag,28,0.8928571428571429,0.8620689655172413
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,2,images/009.png,the small shallow oval/boat-shaped light-tan basket with ONE arched handle; The handle has a pale/whitish wrap at the very top; it connects to the sides with reddish-brown leather-like strap pieces,shallow oval/boat-shaped light-tan basket with ONE arched handle; the handle has a pale/whitish wrap at the top; it connects via reddish-brown leather-like straps on both sides,36,0.7777777777777778,0.7
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,3,images/033.png,the round light-tan *cat-face* lidded basket; two little ears on top; a face (eyes/whiskers/nose) on the lid; it sits on small feet—no arched handle,round light-tan cat-face lidded basket; has two little ears on top; a face (eyes/whiskers/nose) on the lid; sits on small feet; no big handle,29,0.896551724137931,0.8387096774193549
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,4,images/076.png,"the duck/bird-shaped wicker basket in side profile; an elongated rounded body with the head/beak sticking out to the right and a little dark eye; It has a flat strap-style handle on top (not a tall arched handle); the solid duck-shaped lidded form, not an open basket",duck/bird-shaped wicker basket in side profile; rounded body with the head/beak sticking out to the right and a little dark eye; a flat strap-style handle on top; not a round lidded face; the duck profile with the strap handle,51,0.7450980392156863,0.6785714285714286
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,5,images/017.png,the light honey-brown open basket with one tall arched handle; shaped like a rounded square/soft rectangle; it has a noticeable little pinched-in notch/dip on the front rim (spout-like); a clear little V-shaped pinch/notch on the *front* rim,open light honey-brown basket with one arched handle; shaped like a rounded square; the key giveaway is a clear pinched-in V-notch/pour-spout on the front rim; No lid and no big color bands,44,0.5909090909090909,0.4727272727272727
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,6,images/037.png,the tall straight-sided **cylindrical hamper** basket; open top; with **two small loop handles** near the rim (no big arched handle),tall straight-sided cylindrical hamper basket; open top; with two small loop handles near the rim; no big arched handle; two small loop handles opposite each other near the top rim,21,1.0,0.6774193548387096
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,7,images/001.png,a deep round bucket-shaped basket (open top) with a single very thick arched handle that’s extremely dark/near-black; a darker band wrapping around the top rim; handle is noticeably darker (almost black) than the brown body; there’s a clear dark band right around the top rim,deep round bucket-shaped basket with a single thick arched handle that’s very dark/near-black; a darker band around the top rim,50,0.48,0.48
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,8,images/040.png,the mostly dark gray/black open oval basket with ONE arched handle; a very noticeable pale/whitish band wrapping around the bottom/base,mostly dark gray/black oval basket with one arched handle; a noticeable pale/whitish band around the very bottom/base; dark gray/black handled oval basket; the pale/whitish band clearly wraps around the entire bottom/base,23,0.9130434782608695,0.5384615384615384
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,9,images/022.png,the small squat *rectangular* open basket with a very thick twisted/rope-like arched handle (chunky braid); The body is warm orange-brown with a blocky/checkered weave—no lid; the chunky braided rope-handle rectangle with a checkered weave,small squat rectangular open basket with a very thick twisted/rope-like arched handle; chunky braid; Body is warm orange-brown with a blocky/checkered weave; no lid,40,0.7,0.7
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,10,images/065.png,the large deep round tub/bucket basket with **two small side loop handles** (like little ears); open top; **no arched handle**; The weave looks diagonal/herringbone; there’s a slightly darker band near the bottom,large deep round tub/bucket basket with two small side handles; no arched handle; open top; brown diagonal/herringbone weave; a slightly darker band near the bottom; little ear-like side handles,35,0.8,0.717948717948718
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,11,images/019.png,"the very shallow, wide *round tray* basket with a single arched handle over it; The base has a super obvious spiral/coiled weave pattern; much flatter than the other round handled baskets; the flat spiral tray","very shallow, wide round tray-like basket with a single arched handle; a really obvious spiral/coiled pattern on the base",36,0.5,0.46153846153846156
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,3,12,images/015.png,the rectangular picnic-style basket with a tall central handle; its hinged lid is flipped open—lid panel sticking up/leaning to the right so you can see the open top; this open-lid picnic basket,yellow-gold rectangular picnic basket with a tall central handle; its hinged lid is flipped open—lid panel sticking up/leaning to the right; No animal face; the open-lid picnic style; lid flipped up to the right; not a closed case,36,0.7777777777777778,0.56
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,1,images/019.png,"the very shallow, wide round *tray* basket with one arched handle and a really obvious spiral/coiled pattern on the base; much flatter than the other handled baskets; the flat spiral tray","the very shallow, wide *round tray* basket with a single arched handle over it; The base has a super obvious spiral/coiled weave pattern; much flatter than the other round handled baskets; the flat spiral tray",32,0.875,0.7
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,2,images/022.png,the small squat *rectangular* open basket with a very thick twisted/rope-like arched handle (chunky braid); The body is warm orange-brown with a blocky/checkered weave—no lid,the small squat *rectangular* open basket with a very thick twisted/rope-like arched handle (chunky braid); The body is warm orange-brown with a blocky/checkered weave—no lid; the chunky braided rope-handle rectangle with a checkered weave,30,1.0,0.75
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,3,images/076.png,the duck/bird-shaped wicker basket in side profile; rounded body with the head/beak sticking out to the right and a little dark eye; a flat strap-style handle on top; not the round cat-face,"the duck/bird-shaped wicker basket in side profile; an elongated rounded body with the head/beak sticking out to the right and a little dark eye; It has a flat strap-style handle on top (not a tall arched handle); the solid duck-shaped lidded form, not an open basket",37,0.918918918918919,0.6296296296296297
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,4,images/012.png,the rectangular open basket with an orange-brown arched handle/frame but **green/teal vertical striped** body panels and a **scalloped/zigzag** top rim; that striped rectangular one,the rectangular open basket with a brown/orange arched handle and frame; the body has distinct green/teal vertical striped panels; the top rim edge is scalloped/zigzag,28,0.7857142857142857,0.6470588235294118
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,5,images/065.png,"the large deep round tub/bucket basket with **two small side loop handles** (ear-like), **open top**, and **no arched handle**; The weave looks diagonal/herringbone with a slightly darker band near the bottom; that diagonal/herringbone weave and a slightly darker band near the bottom",the large deep round tub/bucket basket with **two small side loop handles** (like little ears); open top; **no arched handle**; The weave looks diagonal/herringbone; there’s a slightly darker band near the bottom,46,0.6739130434782609,0.62
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,6,images/001.png,"the deep round bucket-shaped basket with an open top and a single *very thick* arched handle that’s extremely dark/near-black, plus a darker band wrapping around the top rim; the deep round bucket with the *almost black*, very thick arched handle and a clearly darker band around the top rim; definitely not the lighter honey-brown handled baskets",a deep round bucket-shaped basket (open top) with a single very thick arched handle that’s extremely dark/near-black; a darker band wrapping around the top rim; handle is noticeably darker (almost black) than the brown body; there’s a clear dark band right around the top rim,61,0.6557377049180327,0.5633802816901409
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,7,images/037.png,"the tall straight-sided *cylindrical hamper* basket, open at the top, with **two small loop handles** near the rim (one on each side); No big arched handle; that cylinder",the tall straight-sided **cylindrical hamper** basket; open top; with **two small loop handles** near the rim (no big arched handle),29,0.7241379310344828,0.7241379310344828
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,8,images/015.png,the rectangular picnic-style basket with a tall central handle; its hinged lid is flipped open—lid panel sticking up/leaning to the right so you can see the open top; More yellow-gold than the others; the *open-lid* rectangular picnic basket; tall central handle and the hinged lid panel is clearly flipped up/leaning to the right; not a closed box or an open-top rectangle,the rectangular picnic-style basket with a tall central handle; its hinged lid is flipped open—lid panel sticking up/leaning to the right so you can see the open top; this open-lid picnic basket,68,0.5147058823529411,0.5072463768115942
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,9,images/033.png,"the round light-tan *cat-face* lidded basket; you can see the drawn/stitched face (eyes/whiskers/nose) and two little ears on top, sitting on small feet—no arched handle; the round cat-face with ears/feet",the round light-tan *cat-face* lidded basket; two little ears on top; a face (eyes/whiskers/nose) on the lid; it sits on small feet—no arched handle,38,0.631578947368421,0.5581395348837209
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,10,images/009.png,the small shallow oval/boat-shaped light-tan basket with ONE arched handle; handle has a pale/whitish wrap at the very top; it’s attached on both sides with reddish-brown leather-like straps,the small shallow oval/boat-shaped light-tan basket with ONE arched handle; The handle has a pale/whitish wrap at the very top; it connects to the sides with reddish-brown leather-like strap pieces,35,0.8571428571428571,0.7317073170731707
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,11,images/017.png,"the open light honey-brown basket with one arched handle, shaped like a rounded square; it has a clear pinched-in V-notch/pour-spout on the front rim; a clear little V-shaped pinch/notch on the *front* rim",the light honey-brown open basket with one tall arched handle; shaped like a rounded square/soft rectangle; it has a noticeable little pinched-in notch/dip on the front rim (spout-like); a clear little V-shaped pinch/notch on the *front* rim,40,0.925,0.7872340425531915
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,4,12,images/040.png,the mostly dark gray/black oval open basket with ONE arched handle; a very noticeable pale/whitish band wrapping around the entire bottom/base,the mostly dark gray/black open oval basket with ONE arched handle; a very noticeable pale/whitish band wrapping around the bottom/base,24,0.9583333333333334,0.9583333333333334
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,5,1,images/040.png,the mostly dark gray/black open basket with one arched handle; a very noticeable pale/whitish band wrapping around the entire bottom/base; the dark basket with the light base band; the pale/whitish part is mainly that band around the base,the mostly dark gray/black oval open basket with ONE arched handle; a very noticeable pale/whitish band wrapping around the entire bottom/base,42,0.5476190476190477,0.5348837209302325
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,5,2,images/009.png,the small shallow oval/boat-shaped light-tan basket with ONE arched handle; the handle has a pale/whitish wrap at the very top; it attaches on both sides with reddish-brown leather-like straps; the shallow boat-shaped one with the reddish side straps and the pale wrap on top of the handle,the small shallow oval/boat-shaped light-tan basket with ONE arched handle; handle has a pale/whitish wrap at the very top; it’s attached on both sides with reddish-brown leather-like straps,54,0.6111111111111112,0.5892857142857143
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,5,3,images/065.png,"a large deep round tub/bucket basket with an open top and two small side loop handles (ear-like); No big arched handle over the top; weave looks diagonal/herringbone; the ear-handle tub, not the tall cylinder","the large deep round tub/bucket basket with **two small side loop handles** (ear-like), **open top**, and **no arched handle**; The weave looks diagonal/herringbone with a slightly darker band near the bottom; that diagonal/herringbone weave and a slightly darker band near the bottom",38,0.7368421052631579,0.5
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,5,4,images/001.png,the deep round bucket-shaped basket with a single very thick arched handle that’s extremely dark/near-black; a distinct darker band around the top rim; rim detail is basically a dark strip/band right around the top; the handle is the very thick near-black arch; not an X/diamond motif; simple dark band,"the deep round bucket-shaped basket with an open top and a single *very thick* arched handle that’s extremely dark/near-black, plus a darker band wrapping around the top rim; the deep round bucket with the *almost black*, very thick arched handle and a clearly darker band around the top rim; definitely not the lighter honey-brown handled baskets",56,0.7142857142857143,0.5194805194805194
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,5,5,images/037.png,the tall straight-sided cylindrical hamper basket; open top; with two small loop handles near the rim (one on each side); no big arched handle over the top; the tall straight-sided cylinder/hamper with two small loop handles right near the top rim and no big arching handle,"the tall straight-sided *cylindrical hamper* basket, open at the top, with **two small loop handles** near the rim (one on each side); No big arched handle; that cylinder",49,0.5510204081632653,0.5294117647058824
gpt,gpt-5.5,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,data/experiments/ACL/2026-05-15/gpt5.2-acl/acl-debug-5.2/debug_data.json,5,6,images/022.png,the small squat rectangular open basket with a very thick twisted/rope-like arched handle (chunky braid); The body is warm orange-brown with a blocky/checkered weave; no lid; the rope-handle checker one; the squat rectangular open basket with the very thick twisted/rope braided handle; the body weave looks blocky/checkered in warm orange-brown,the small squat *rectangular* open basket with a very thick twisted/rope-like arched handle (chunky braid); The body is warm orange-brown with a blocky/checkered weave—no lid,58,0.5172413793103449,0.5172413793103449
