experiment,session_prefix,prompt_strategy,director_model,matcher_model,session_id,round,object_num,basket_id,left_extractor,left_gpt_model,right_extractor,right_gpt_model,left_re_words,right_re_words,word_count_delta_right_minus_left,multiset_jaccard,left_referring_expression,right_referring_expression
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,1,8,images/040.png,deterministic,,gpt,gpt-5.5,20,20,0,1.0,the small oval open basket with a very dark almost black arch handle and mottled gray-brown/cream woven sides.,the small oval open basket with a very dark almost black arch handle and mottled gray-brown/cream woven sides
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,1,9,images/037.png,deterministic,,gpt,gpt-5.5,21,21,0,1.0,"the tall cylindrical open basket, like a wastebasket shape, with straight vertical sides and small loop handles near the top rim.","the tall cylindrical open basket, like a wastebasket shape, with straight vertical sides and small loop handles near the top rim"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,2,1,images/015.png,deterministic,,gpt,gpt-5.5,25,24,-1,0.96,"the rectangular picnic-style wicker carrier: straight tan sides, a tall upright handle/divider in the middle, and another handle leaning diagonally to the right.","rectangular picnic-style wicker carrier: straight tan sides, a tall upright handle/divider in the middle, and another handle leaning diagonally to the right"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,2,10,images/065.png,deterministic,,gpt,gpt-5.5,21,20,-1,0.9523809523809523,"the large deep round storage basket, wider at the top, with two short upright side loop handles and no overhead arch.","large deep round storage basket, wider at the top, with two short upright side loop handles and no overhead arch"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,2,11,images/009.png,deterministic,,gpt,gpt-5.5,24,23,-1,0.9583333333333334,"the small oval open basket with pale whitewashed-and-tan sides, a thin high arch handle, and little reddish ties where the handle attaches.","small oval open basket with pale whitewashed-and-tan sides, a thin high arch handle, and little reddish ties where the handle attaches"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,2,12,images/017.png,deterministic,,gpt,gpt-5.5,20,19,-1,0.95,the warm peach/light-brown rounded rectangular basket with vertical ribbed sides and one smooth arch handle over the top.,warm peach/light-brown rounded rectangular basket with vertical ribbed sides and one smooth arch handle over the top
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,2,2,images/037.png,deterministic,,gpt,gpt-5.5,24,23,-1,0.9583333333333334,"the tall cylindrical open basket, like a wastebasket, with straight vertical sides and small loop handles near the top rim—no big overhead arch.","tall cylindrical open basket, like a wastebasket, with straight vertical sides and small loop handles near the top rim—no big overhead arch"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,2,3,images/001.png,deterministic,,gpt,gpt-5.5,21,20,-1,0.9523809523809523,the round bucket-style basket with a very thick dark brown/black arch handle and a grayish rim around the top.,round bucket-style basket with a very thick dark brown/black arch handle and a grayish rim around the top
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,2,4,images/022.png,deterministic,,gpt,gpt-5.5,19,18,-1,0.9473684210526315,the low rectangular tray-like basket with the thick twisted rope arch handle and chunky golden-brown lattice weave.,low rectangular tray-like basket with the thick twisted rope arch handle and chunky golden-brown lattice weave
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,2,5,images/040.png,deterministic,,gpt,gpt-5.5,20,19,-1,0.95,the small oval open basket with a very dark almost black arch handle and mottled gray-brown/cream woven sides.,small oval open basket with a very dark almost black arch handle and mottled gray-brown/cream woven sides
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,2,6,images/076.png,deterministic,,gpt,gpt-5.5,24,23,-1,0.9583333333333334,"the rabbit-shaped wicker basket: squat oval body, protruding head/snout pointing right, long ears laid back on top, and a small colored eye.","rabbit-shaped wicker basket: squat oval body, protruding head/snout pointing right, long ears laid back on top, and a small colored eye"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,2,7,images/033.png,deterministic,,gpt,gpt-5.5,23,22,-1,0.9565217391304348,"the round pale lidded animal-face basket: front-facing face with red eyes and whiskers, little ears on top, and small feet underneath.","round pale lidded animal-face basket: front-facing face with red eyes and whiskers, little ears on top, and small feet underneath"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,2,8,images/019.png,deterministic,,gpt,gpt-5.5,20,19,-1,0.95,"the very shallow round tray basket, with a wide spiral open base and one pale wrapped arch handle over it.","very shallow round tray basket, with a wide spiral open base and one pale wrapped arch handle over it"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,2,9,images/012.png,deterministic,,gpt,gpt-5.5,19,18,-1,0.9473684210526315,"the boxy rectangular basket with dark green woven sides, tan wicker trim, and one arched handle over the top.","boxy rectangular basket with dark green woven sides, tan wicker trim, and one arched handle over the top"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,3,1,images/012.png,deterministic,,gpt,gpt-5.5,19,19,0,1.0,"the boxy rectangular basket with dark green woven sides, tan wicker trim, and one arched handle over the top.","the boxy rectangular basket with dark green woven sides, tan wicker trim, and one arched handle over the top"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,3,10,images/065.png,deterministic,,gpt,gpt-5.5,21,21,0,1.0,"the large deep round storage basket, wider at the top, with two short upright side loop handles and no overhead arch.","the large deep round storage basket, wider at the top, with two short upright side loop handles and no overhead arch"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,3,11,images/019.png,deterministic,,gpt,gpt-5.5,20,20,0,1.0,"the very shallow round tray basket, with a wide flat spiral base and one pale wrapped arch handle over it.","the very shallow round tray basket, with a wide flat spiral base and one pale wrapped arch handle over it"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,3,12,images/015.png,deterministic,,gpt,gpt-5.5,24,24,0,1.0,"the rectangular picnic-style wicker carrier: straight tan sides, a tall upright center handle/divider, plus a second handle leaning diagonally to the right.","the rectangular picnic-style wicker carrier: straight tan sides, a tall upright center handle/divider, plus a second handle leaning diagonally to the right"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,3,2,images/009.png,deterministic,,gpt,gpt-5.5,24,24,0,1.0,"the small oval open basket with pale whitewashed-and-tan sides, a thin high arch handle, and little reddish ties where the handle attaches.","the small oval open basket with pale whitewashed-and-tan sides, a thin high arch handle, and little reddish ties where the handle attaches"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,3,3,images/033.png,deterministic,,gpt,gpt-5.5,22,22,0,1.0,"the round pale lidded animal-face basket: front-facing face with red eyes, whiskers, little ears on top, and small feet underneath.","the round pale lidded animal-face basket: front-facing face with red eyes, whiskers, little ears on top, and small feet underneath"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,3,4,images/076.png,deterministic,,gpt,gpt-5.5,23,23,0,1.0,"the rabbit-shaped wicker basket: squat oval body, protruding snout pointing right, long ears laid back on top, and a small colored eye.","the rabbit-shaped wicker basket: squat oval body, protruding snout pointing right, long ears laid back on top, and a small colored eye"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,3,5,images/017.png,deterministic,,gpt,gpt-5.5,21,21,0,1.0,the warm peach/light-brown rounded rectangular open basket with vertical ribbed sides and one smooth arch handle over the top.,the warm peach/light-brown rounded rectangular open basket with vertical ribbed sides and one smooth arch handle over the top
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,3,6,images/037.png,deterministic,,gpt,gpt-5.5,23,23,0,1.0,"the tall cylindrical open basket, like a wastebasket, with straight vertical sides and small loop handles near the top rim—no overhead arch.","the tall cylindrical open basket, like a wastebasket, with straight vertical sides and small loop handles near the top rim—no overhead arch"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,3,7,images/001.png,deterministic,,gpt,gpt-5.5,21,21,0,1.0,the round bucket-style basket with a very thick dark brown/black arch handle and a grayish rim around the top.,the round bucket-style basket with a very thick dark brown/black arch handle and a grayish rim around the top
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,3,8,images/040.png,deterministic,,gpt,gpt-5.5,20,20,0,1.0,the small oval open basket with the very dark almost black arch handle and mottled gray-brown/cream woven sides.,the small oval open basket with the very dark almost black arch handle and mottled gray-brown/cream woven sides
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,3,9,images/022.png,deterministic,,gpt,gpt-5.5,19,19,0,1.0,the low rectangular tray-like basket with a thick twisted rope arch handle and chunky golden-brown lattice weave.,the low rectangular tray-like basket with a thick twisted rope arch handle and chunky golden-brown lattice weave
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,4,1,images/019.png,deterministic,,gpt,gpt-5.5,40,19,-21,0.475,the very shallow round tray basket with a wide flat spiral base and one pale wrapped arch handle over it. the very shallow round tray basket with a wide flat spiral base and one pale wrapped arch handle over it.,very shallow round tray basket with a wide flat spiral base and one pale wrapped arch handle over it
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,4,10,images/009.png,deterministic,,gpt,gpt-5.5,24,23,-1,0.9583333333333334,"the small oval open basket with pale whitewashed-and-tan sides, a thin high arch handle, and little reddish ties where the handle attaches.","small oval open basket with pale whitewashed-and-tan sides, a thin high arch handle, and little reddish ties where the handle attaches"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,4,11,images/017.png,deterministic,,gpt,gpt-5.5,19,18,-1,0.9473684210526315,the warm peach/light-brown rounded rectangular open basket with vertical ribbed sides and one smooth matching arch handle.,warm peach/light-brown rounded rectangular open basket with vertical ribbed sides and one smooth matching arch handle
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,4,12,images/040.png,deterministic,,gpt,gpt-5.5,22,21,-1,0.9545454545454546,"the small oval open basket with a very dark almost black arch handle, mottled gray-brown/cream sides, and a dark rim.","small oval open basket with a very dark almost black arch handle, mottled gray-brown/cream sides, and a dark rim"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,4,2,images/022.png,deterministic,,gpt,gpt-5.5,19,18,-1,0.9473684210526315,the low rectangular tray-like basket with the thick twisted rope arch handle and chunky golden-brown lattice weave.,low rectangular tray-like basket with the thick twisted rope arch handle and chunky golden-brown lattice weave
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,4,3,images/076.png,deterministic,,gpt,gpt-5.5,23,22,-1,0.9565217391304348,"the rabbit-shaped wicker basket: squat rounded body, protruding snout pointing right, long ears laid back on top, and a small colored eye.","rabbit-shaped wicker basket: squat rounded body, protruding snout pointing right, long ears laid back on top, and a small colored eye"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,4,4,images/012.png,deterministic,,gpt,gpt-5.5,19,18,-1,0.9473684210526315,"the boxy rectangular basket with dark green woven sides, tan wicker trim, and one arched handle over the top.","boxy rectangular basket with dark green woven sides, tan wicker trim, and one arched handle over the top"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,4,5,images/065.png,deterministic,,gpt,gpt-5.5,21,20,-1,0.9523809523809523,"the large deep round storage basket, wider at the top, with two short upright side loop handles and no overhead arch.","large deep round storage basket, wider at the top, with two short upright side loop handles and no overhead arch"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,4,6,images/001.png,deterministic,,gpt,gpt-5.5,21,20,-1,0.9523809523809523,the round bucket-style basket with a very thick dark brown/black arch handle and a grayish rim around the top.,round bucket-style basket with a very thick dark brown/black arch handle and a grayish rim around the top
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,4,7,images/037.png,deterministic,,gpt,gpt-5.5,23,22,-1,0.9565217391304348,"the tall cylindrical open basket, like a wastebasket, with straight vertical sides and small loop handles near the top rim—no overhead arch.","tall cylindrical open basket, like a wastebasket, with straight vertical sides and small loop handles near the top rim—no overhead arch"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,4,8,images/015.png,deterministic,,gpt,gpt-5.5,24,23,-1,0.9583333333333334,"the rectangular picnic-style wicker carrier: straight tan sides, a tall upright center divider/handle, plus a second handle leaning diagonally to the right.","rectangular picnic-style wicker carrier: straight tan sides, a tall upright center divider/handle, plus a second handle leaning diagonally to the right"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,4,9,images/033.png,deterministic,,gpt,gpt-5.5,23,22,-1,0.9565217391304348,"the round pale lidded animal-face basket: front-facing face with red eyes and whiskers, little ears on top, and small feet underneath.","round pale lidded animal-face basket: front-facing face with red eyes and whiskers, little ears on top, and small feet underneath"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,5,1,images/040.png,deterministic,,gpt,gpt-5.5,22,22,0,1.0,"the small oval open basket with the very dark almost black arch handle, mottled gray-brown/cream sides, and a dark rim.","the small oval open basket with the very dark almost black arch handle, mottled gray-brown/cream sides, and a dark rim"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,5,10,images/015.png,deterministic,,gpt,gpt-5.5,24,24,0,1.0,"the rectangular picnic-style wicker carrier: straight tan sides, a tall upright center divider/handle, and a second handle leaning diagonally to the right.","the rectangular picnic-style wicker carrier: straight tan sides, a tall upright center divider/handle, and a second handle leaning diagonally to the right"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,5,11,images/019.png,deterministic,,gpt,gpt-5.5,20,20,0,1.0,the very shallow round tray basket with a wide flat spiral base and one pale wrapped arch handle over it.,the very shallow round tray basket with a wide flat spiral base and one pale wrapped arch handle over it
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,5,12,images/012.png,deterministic,,gpt,gpt-5.5,19,19,0,1.0,"the boxy rectangular basket with dark green woven sides, tan wicker trim, and one arched handle over the top.","the boxy rectangular basket with dark green woven sides, tan wicker trim, and one arched handle over the top"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,5,2,images/009.png,deterministic,,gpt,gpt-5.5,24,24,0,1.0,"the small oval open basket with pale whitewashed-and-tan sides, a thin high arch handle, and little reddish ties where the handle attaches.","the small oval open basket with pale whitewashed-and-tan sides, a thin high arch handle, and little reddish ties where the handle attaches"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,5,3,images/065.png,deterministic,,gpt,gpt-5.5,21,21,0,1.0,"the large deep round storage basket, wider at the top, with two short upright side loop handles and no overhead arch.","the large deep round storage basket, wider at the top, with two short upright side loop handles and no overhead arch"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,5,4,images/001.png,deterministic,,gpt,gpt-5.5,21,21,0,1.0,the round bucket-style basket with a very thick dark brown/black arch handle and a grayish rim around the top.,the round bucket-style basket with a very thick dark brown/black arch handle and a grayish rim around the top
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,5,5,images/037.png,deterministic,,gpt,gpt-5.5,21,21,0,1.0,"the tall straight-sided cylindrical open basket, like a wastebasket, with small loop handles near the top and no overhead arch.","the tall straight-sided cylindrical open basket, like a wastebasket, with small loop handles near the top and no overhead arch"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,5,6,images/022.png,deterministic,,gpt,gpt-5.5,19,19,0,1.0,the low rectangular tray-like basket with a thick twisted rope arch handle and chunky golden-brown lattice weave.,the low rectangular tray-like basket with a thick twisted rope arch handle and chunky golden-brown lattice weave
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,5,7,images/017.png,deterministic,,gpt,gpt-5.5,19,19,0,1.0,the warm peach/light-brown rounded rectangular open basket with vertical ribbed sides and one smooth matching arch handle.,the warm peach/light-brown rounded rectangular open basket with vertical ribbed sides and one smooth matching arch handle
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,5,8,images/076.png,deterministic,,gpt,gpt-5.5,23,23,0,1.0,"the rabbit-shaped wicker basket: squat rounded body, protruding snout pointing right, long ears laid back on top, and a small colored eye.","the rabbit-shaped wicker basket: squat rounded body, protruding snout pointing right, long ears laid back on top, and a small colored eye"
ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,acl-debug-5.5,5,9,images/033.png,deterministic,,gpt,gpt-5.5,22,22,0,1.0,"the pale round lidded animal-face basket: front-facing face with red eyes, whiskers, little ears on top, and small feet underneath.","the pale round lidded animal-face basket: front-facing face with red eyes, whiskers, little ears on top, and small feet underneath"
ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,1,1,images/076.png,deterministic,,gpt,gpt-5.5,35,60,25,0.5079365079365079,the light tan wicker basket shaped like a duck/bird: rounded body with a head sticking out on the right and a little dark eye; it also has a flat oval handle/strap on top.,the light tan wicker basket shaped like a duck/bird; rounded body with a head sticking out on the right and a little dark eye; a flat oval handle/strap on top; the duck/bird in side profile with the head/beak sticking out to the right and a flat strap handle on top; not the round cat-face one
ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,1,10,images/019.png,deterministic,,gpt,gpt-5.5,54,54,0,1.0,"a very shallow, wide round basket—almost like a flat tray—with a single arched handle over it. The bottom has a really obvious spiral/coiled weave pattern. the flat, shallow round tray with one arch handle and a very clear spiral/coiled pattern on the base (much flatter than the deeper handled baskets).","a very shallow, wide round basket; almost like a flat tray; with a single arched handle over it; The bottom has a really obvious spiral/coiled weave pattern; the flat, shallow round tray with one arch handle and a very clear spiral/coiled pattern on the base; much flatter than the deeper handled baskets"
ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,1,11,images/065.png,deterministic,,gpt,gpt-5.5,47,41,-6,0.8723404255319149,the large deep round tub/bucket basket with **two small side handles** (like little ears) and an open top—no arched handle and no lid. The weave is brown with a diagonal/herringbone look and a slightly darker band near the bottom. Confirm when you’ve placed,the large deep round tub/bucket basket with two small side handles; like little ears; an open top; no arched handle and no lid; The weave is brown with a diagonal/herringbone look and a slightly darker band near the bottom
ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,1,12,images/017.png,deterministic,,gpt,gpt-5.5,44,42,-2,0.9545454545454546,"an open, light honey-brown basket with one arched handle, shaped kind of like a rounded square. Key detail: the rim has a little pinched-in notch/spout at the front (like a small pour spout). No lid, and no strong two-tone bands.","an open, light honey-brown basket with one arched handle; shaped kind of like a rounded square; the rim has a little pinched-in notch/spout at the front; like a small pour spout; No lid, and no strong two-tone bands"
ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,1,2,images/001.png,deterministic,,gpt,gpt-5.5,99,60,-39,0.6060606060606061,"Yes—position 1 is the duck/bird in side profile with the head/beak sticking out to the right and a flat strap handle on top (not the round cat-face one). an open, deep round bucket-shaped wicker basket with a single thick arched handle that’s very dark (almost black). The body has a tight small weave and a darker band around the top rim. overall dark brown, with that very dark almost-black thick handle and a dark band right around the rim (darker than the honey/light ones). and not the warm honey-colored ones).","an open, deep round bucket-shaped wicker basket with a single thick arched handle that’s very dark (almost black); The body has a tight small weave and a darker band around the top rim; overall dark brown, with that very dark almost-black thick handle and a dark band right around the rim; darker than the honey/light ones"
ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,1,3,images/015.png,deterministic,,gpt,gpt-5.5,60,56,-4,0.9333333333333333,"a rectangular picnic-style wicker basket with a hinged lid that’s open (the lid sticks up and leans to the right). It also has a tall central handle/strap rising from the middle. Open top visible because the lid is up. that yellow-gold rectangular picnic basket with the hinged lid flipped up and leaning to the right. Next,",a rectangular picnic-style wicker basket with a hinged lid that’s open; the lid sticks up and leans to the right; a tall central handle/strap rising from the middle; Open top visible because the lid is up; that yellow-gold rectangular picnic basket with the hinged lid flipped up and leaning to the right
ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,1,4,images/009.png,deterministic,,gpt,gpt-5.5,77,67,-10,0.8701298701298701,"a small shallow oval/boat-shaped basket with one arched handle; the handle connects via reddish-brown leather-like straps on the sides, and the weave is light tan with a slightly darker band around the middle. Let me know when you’ve got placed. the shallow oval/boat-shaped one with the arched handle that has a lighter/whitish section at the top, and the handle is attached on both sides with reddish-brown strap pieces.",a small shallow oval/boat-shaped basket with one arched handle; the handle connects via reddish-brown leather-like straps on the sides; the weave is light tan with a slightly darker band around the middle; the shallow oval/boat-shaped one with the arched handle that has a lighter/whitish section at the top; the handle is attached on both sides with reddish-brown strap pieces
ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,1,5,images/022.png,deterministic,,gpt,gpt-5.5,54,53,-1,0.9814814814814815,"a small, squat rectangular open basket with a very thick twisted/rope-like arched handle. The weave looks blocky/checkered in warm orange-brown tones—no lid. the squat rectangular open basket with the *very thick twisted/rope-like* arched handle (round braided look) and a tight blocky/checker weave in warm orange-brown.","a small, squat rectangular open basket with a very thick twisted/rope-like arched handle; The weave looks blocky/checkered in warm orange-brown tones; no lid; the squat rectangular open basket with the very thick twisted/rope-like arched handle; round braided look; a tight blocky/checker weave in warm orange-brown"
ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,1,6,images/033.png,deterministic,,gpt,gpt-5.5,58,51,-7,0.8793103448275862,"the round, lidded light-tan basket that looks like a cat’s face: two little ears on top and a face drawn/stitched on (eyes, whiskers, small nose). No big handle—more like a round animal head on little feet. Confirm when you’ve placed it. the pale round cat-face on little feet (not the duck). Now","the round, lidded light-tan basket that looks like a cat’s face; two little ears on top and a face drawn/stitched on (eyes, whiskers, small nose); No big handle; more like a round animal head on little feet; the pale round cat-face on little feet; not the duck"
ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,1,7,images/012.png,deterministic,,gpt,gpt-5.5,51,44,-7,0.8627450980392157,a rectangular open basket with an arched handle and a distinctive two-tone look—orange-brown frame/handle but the body has greenish vertical slats/stripes. The top rim edge is scalloped/zigzag. Let me know when you’ve got the brown handle/frame with the green/teal vertically striped body.,a rectangular open basket with an arched handle and a distinctive two-tone look; orange-brown frame/handle but the body has greenish vertical slats/stripes; The top rim edge is scalloped/zigzag; the brown handle/frame with the green/teal vertically striped body
ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,debug,1,8,images/040.png,deterministic,,gpt,gpt-5.5,62,71,9,0.8732394366197183,"an open oval basket that’s mostly dark gray/blackish wicker with a single arched handle; it has a lighter whitish weave accent around the lower edge/base, making a pale band near the bottom. the mostly dark gray/black open basket with one handle and a clear pale/whitish band around the bottom edge (not the deep dark-brown bucket of","an open oval basket that’s mostly dark gray/blackish wicker with a single arched handle; it has a lighter whitish weave accent around the lower edge/base, making a pale band near the bottom; the mostly dark gray/black open basket with one handle and a clear pale/whitish band around the bottom edge; not the deep dark-brown bucket of basket 2, and not the warm honey-colored ones"
