extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,round,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,1,5,5,100.0,0.0,24.4,0.8944271909999159,549.8,35.73793502708292,225.8,8.757853618324527,18.816666666666666,0.7298211348603771,1.0,0.0,0.0,0.0,12.0,0.0
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,2,5,5,93.33333333333333,6.972166887783961,24.0,0.0,480.8,32.43763246601083,183.4,16.272676485446393,15.283333333333333,1.356056373787199,0.265714668530071,0.015789911039527274,0.13743611903223607,0.008042911476289159,12.0,0.0
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,3,5,5,85.0,3.726779962499641,26.0,1.4142135623730951,517.2,20.364184245876388,193.4,10.21273714534943,16.116666666666667,0.8510614287791183,0.25827838355315136,0.02690913068015567,0.15306497609020914,0.013453364597784546,12.0,0.0
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,4,5,5,85.0,12.360330811826106,25.2,1.7888543819998317,457.2,40.145983609820796,158.2,17.23948955160796,13.183333333333334,1.436624129300663,0.20897859461904647,0.022202821443690197,0.10510669884032506,0.016249026958528746,12.0,0.0
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,5,5,5,96.66666666666666,4.5643546458763895,25.2,1.0954451150103321,485.0,35.48943504763072,179.2,8.5848704125339,14.933333333333334,0.7154058677111587,0.21151785302617346,0.025474729473512068,0.13578164409900195,0.0183487294658053,12.0,0.0
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,1,6,6,98.61111111111111,3.4020690871988624,26.333333333333332,1.505545305418162,269.0,32.61901286060018,72.0,11.224972160321824,6.0,0.9354143466934854,1.0,0.0,0.0,0.0,12.0,0.0
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,2,6,6,95.83333333333333,10.206207261596575,26.0,0.0,208.0,16.024980499208105,53.166666666666664,6.882344561751226,4.430555555555555,0.5735287134792688,0.27293320105820107,0.060112447142337586,0.12848424723424723,0.033215171402123274,12.0,0.0
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,3,6,6,88.88888888888889,6.8041381743977105,26.0,0.0,204.16666666666666,9.537644712750977,44.666666666666664,4.1311822359545785,3.7222222222222223,0.3442651863295481,0.19203042328042327,0.06395803916564753,0.09761554032387365,0.030491590489547665,12.0,0.0
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,4,6,6,93.05555555555556,6.2731054392423395,25.666666666666668,0.816496580927726,218.66666666666666,37.130400841718185,53.5,9.460443964212251,4.458333333333333,0.7883703303510208,0.06338734567901234,0.027931832325992043,0.03637215408048741,0.016324424898294623,12.0,0.0
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,5,6,6,77.77777777777777,12.546210878484688,26.0,1.2649110640673518,204.0,26.578186544608343,42.0,10.079682534683322,3.5,0.8399735445569435,0.1427248677248677,0.029244892039849292,0.07801442384775717,0.01175879091220278,12.0,0.0
